Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
LANTUS SUBCUTANEOUS SOLUTION (insulin glargine),Tier 2,QL (30 mL per 30 days)
NOVOLIN N FLEXPEN RELION SUBCUTANEOUS SUSPENSION PEN-INJECTOR (insulin nph human (isophane)),Tier 2,QL (30 mL per 30 days)
NOVOLIN N FLEXPEN SUBCUTANEOUS SUSPENSION PEN- INJECTOR (insulin nph human (isophane)),Tier 2,QL (30 mL per 30 days)
NOVOLIN R FLEXPEN INJECTION SOLUTION PEN-INJECTOR (insulin regular human),Tier 2,QL (30 mL per 30 days)
NOVOLIN R FLEXPEN RELION INJECTION SOLUTION PEN- INJECTOR (insulin regular human),Tier 2,QL (30 mL per 30 days)
OZEMPIC (0.25 OR 0.5 MG/DOSE) SUBCUTANEOUS SOLUTION PEN-INJECTOR (semaglutide),Tier 3,ST; QL (1 pen per 28 days)
OZEMPIC (1 MG/DOSE) SUBCUTANEOUS SOLUTION PEN- INJECTOR (semaglutide),Tier 3,ST; QL (2 pens per 28 days)
TRULICITY SUBCUTANEOUS SOLUTION PEN-INJECTOR (dulaglutide),Tier 3,ST; QL (4 pens per 28 days)
VICTOZA SUBCUTANEOUS SOLUTION PEN-INJECTOR (liraglutide),Tier 2,ST; QL (1 box (2 pens) per 30 days)
FARXIGA ORAL TABLET (dapagliflozin propanediol),Tier 3,ST; QL (1 tablet per 1 day)
JARDIANCE ORAL TABLET (empagliflozin),Tier 2,ST; QL (1 tablet per 1 day)
glipizide-metformin hcl oral tablet,Tier 1,
glyburide-metformin oral tablet,Tier 1,
glimepiride oral tablet,Tier 1,
glipizide er oral tablet extended release 24 hour,Tier 1,
glipizide oral tablet,Tier 1,
glipizide xl oral tablet extended release 24 hour,Tier 1,
glyburide oral tablet,Tier 1,
tolbutamide oral tablet,Tier 2,
pioglitazone hcl oral tablet,Tier 1,QL (1 tablet per 1 day)
diphenoxylate-atropine oral liquid,Tier 1,
diphenoxylate-atropine oral tablet,Tier 1,
MOTOFEN ORAL TABLET (difenoxin-atropine),Tier 3,
CHEMET ORAL CAPSULE (succimer),Tier 3,
naloxone hcl injection solution,Tier 2,QL (6 vial per 90 days)
naloxone hcl injection solution cartridge,Tier 2,QL (6 syringes per 90 days)
naloxone hcl injection solution prefilled syringe,Tier 2,QL (6 syringes per 90 days)
naltrexone hcl oral tablet,Tier 1,
ondansetron hcl oral solution,Tier 2,QL (8 mL per 1 day)
ondansetron hcl oral tablet 24 mg,Tier 2,QL (8 tablets per 30 days)
ondansetron hcl oral tablet 4 mg,Tier 2,QL (48 tablets per 30 days)
ondansetron hcl oral tablet 8 mg,Tier 2,QL (24 tablets per 30 days)
ondansetron oral tablet dispersible 4 mg,Tier 2,QL (48 tablets per 30 days)
ondansetron oral tablet dispersible 8 mg,Tier 2,QL (24 tablets per 30 days)
palonosetron hcl intravenous solution,Tier 2,
palonosetron hcl intravenous solution prefilled syringe,Tier 2,
meclizine hcl oral tablet,Tier 1,
scopolamine transdermal patch 72 hour,Tier 2,
trimethobenzamide hcl oral capsule,Tier 1,
bio-statin oral powder,Tier 1,
flucytosine oral capsule,Tier 2,PA
griseofulvin microsize oral suspension,Tier 1,
griseofulvin microsize oral tablet,Tier 1,
griseofulvin ultramicrosize oral tablet,Tier 1,
nystatin oral tablet,Tier 1,
terbinafine hcl oral tablet,Tier 1,QL (1 tablet per 1 day)
ketoconazole oral tablet,Tier 1,QL (2 tablets per 1 day)
fluconazole oral suspension reconstituted 10 mg/ml,Tier 1,QL (40 mL per 1 day)
fluconazole oral suspension reconstituted 40 mg/ml,Tier 1,QL (10 mL per 1 day)
fluconazole oral tablet 100 mg,Tier 1,QL (4 tablets per 1 day)
"fluconazole oral tablet 150 mg, 200 mg",Tier 1,QL (2 tablets per 1 day)
fluconazole oral tablet 50 mg,Tier 1,QL (8 tablets per 1 day)
itraconazole oral capsule,Tier 2,PA; QL (126 capsules per 30 days)
carbinoxamine maleate oral solution,Tier 1,
carbinoxamine maleate oral tablet,Tier 1,
clemastine fumarate oral tablet,Tier 1,
diphenhydramine hcl injection solution,Tier 2,
diphenhydramine hcl oral capsule,Tier 1,
allergy 24-hr oral tablet,Tier 1,
desloratadine oral tablet,Tier 1,
desloratadine oral tablet dispersible,Tier 1,
hm fexofenadine hcl oral tablet,Tier 1,
levocetirizine dihydrochloride oral solution,Tier 1,
levocetirizine dihydrochloride oral tablet,Tier 1,
qc fexofenadine hydrochloride oral tablet,Tier 1,
sm fexofenadine hcl oral tablet,Tier 1,
promethazine hcl (Phenadoz Rectal Suppository),Tier 2,
promethazine hcl oral solution,Tier 1,
promethazine hcl oral syrup,Tier 1,
promethazine hcl oral tablet,Tier 1,
promethazine hcl rectal suppository,Tier 2,
PROMETHEGAN RECTAL SUPPOSITORY (promethazine hcl),Tier 2,
cyproheptadine hcl oral syrup,Tier 1,
omega-3-acid ethyl esters oral capsule,Tier 1,QL (4 capsules per 1 day)
colesevelam hcl oral packet,Tier 2,QL (1 packet per 1 day)
colesevelam hcl oral tablet,Tier 2,QL (6 tablets per 1 day)
"fenofibrate micronized oral capsule 130 mg, 43 mg",Tier 1,
"fenofibrate micronized oral capsule 134 mg, 200 mg, 67 mg",Tier 1,QL (1 capsule per 1 day)
"fenofibrate oral capsule 134 mg, 150 mg, 200 mg, 50 mg, 67 mg",Tier 1,QL (1 capsule per 1 day)
"fenofibrate oral tablet 145 mg, 160 mg, 48 mg, 54 mg",Tier 1,QL (1 tablet per 1 day)
"fenofibric acid oral capsule delayed release 135 mg, 45 mg",Tier 1,QL (1 capsule per 1 day)
fenofibric acid oral tablet,Tier 1,QL (1 tablet per 1 day)
gemfibrozil oral tablet,Tier 1,
"atorvastatin calcium oral tablet 10 mg, 20 mg",Tier 1; $0,DO
atorvastatin calcium oral tablet 40 mg,Tier 1,DO
atorvastatin calcium oral tablet 80 mg,Tier 1,QL (1 tablet per 1 day)
fluvastatin sodium er oral tablet extended release 24 hour,Tier 1; $0,QL (1 tablet per 1 day)
fluvastatin sodium oral capsule,Tier 1; $0,DO
"lovastatin oral tablet 10 mg, 20 mg",Tier 1; $0,DO
lovastatin oral tablet 40 mg,Tier 1; $0,QL (2 tablets per 1 day)
"pravastatin sodium oral tablet 10 mg, 20 mg, 40 mg",Tier 1; $0,DO
pravastatin sodium oral tablet 80 mg,Tier 1; $0,QL (1 tablet per 1 day)
"rosuvastatin calcium oral tablet 10 mg, 5 mg",Tier 2; $0,DO
rosuvastatin calcium oral tablet 20 mg,Tier 2,DO
rosuvastatin calcium oral tablet 40 mg,Tier 2,QL (1 tablet per 1 day)
"simvastatin oral tablet 10 mg, 20 mg, 40 mg, 5 mg",Tier 1; $0,DO
simvastatin oral tablet 80 mg,Tier 1,PA; QL (1 tablet per 1 day)
"niacin er (antihyperlipidemic) oral tablet extended release 1000 mg, 750 mg",Tier 1,QL (2 tablets per 1 day)
niacin er (antihyperlipidemic) oral tablet extended release 500 mg,Tier 1,QL (1 tablet per 1 day)
amlodipine besy-benazepril hcl oral capsule,Tier 1,
trandolapril-verapamil hcl er oral tablet extended release 1-240 mg,Tier 1,DO
"trandolapril-verapamil hcl er oral tablet extended release 2-180 mg, 2-240 mg, 4-240 mg",Tier 1,QL (1 tablet per 1 day)
benazepril-hydrochlorothiazide oral tablet,Tier 1,
enalapril-hydrochlorothiazide oral tablet,Tier 1,
fosinopril sodium-hctz oral tablet,Tier 1,
lisinopril-hydrochlorothiazide oral tablet,Tier 1,
quinapril-hydrochlorothiazide oral tablet,Tier 1,
benazepril hcl oral tablet,Tier 1,
enalapril maleate oral tablet,Tier 1,
fosinopril sodium oral tablet,Tier 1,
lisinopril oral tablet,Tier 1,
quinapril hcl oral tablet,Tier 1,
ramipril oral capsule,Tier 1,
trandolapril oral tablet,Tier 1,
methyldopa-hydrochlorothiazide oral tablet,Tier 1,
phenoxybenzamine hcl oral capsule,Tier 2,PA; QL (12 capsules per 1 day)
"amlodipine besylate-valsartan oral tablet 10-160 mg, 10-320 mg, 5- 320 mg",Tier 1,QL (1 tablet per 1 day)
amlodipine besylate-valsartan oral tablet 5-160 mg,Tier 1,DO
candesartan cilexetil-hctz oral tablet 16-12.5 mg,Tier 1,QL (2 tablets per 1 day)
candesartan cilexetil-hctz oral tablet 32-12.5 mg,Tier 1,QL (1 tablet per 1 day)
candesartan cilexetil-hctz oral tablet 32-25 mg,Tier 1,
irbesartan-hydrochlorothiazide oral tablet 150-12.5 mg,Tier 1,QL (2 tablets per 1 day)
irbesartan-hydrochlorothiazide oral tablet 300-12.5 mg,Tier 1,
"losartan potassium-hctz oral tablet 100-12.5 mg, 100-25 mg",Tier 1,QL (1 tablet per 1 day)
losartan potassium-hctz oral tablet 50-12.5 mg,Tier 1,DO
olmesartan medoxomil-hctz oral tablet 20-12.5 mg,Tier 2,DO
"olmesartan medoxomil-hctz oral tablet 40-12.5 mg, 40-25 mg",Tier 2,QL (1 tablet per 1 day)
"valsartan-hydrochlorothiazide oral tablet 160-12.5 mg, 80-12.5 mg",Tier 1,DO
"valsartan-hydrochlorothiazide oral tablet 160-25 mg, 320-12.5 mg, 320-25 mg",Tier 1,QL (1 tablet per 1 day)
"irbesartan oral tablet 150 mg, 75 mg",Tier 1,DO
irbesartan oral tablet 300 mg,Tier 1,QL (1 tablet per 1 day)
losartan potassium oral tablet 100 mg,Tier 1,QL (1 tablet per 1 day)
"losartan potassium oral tablet 25 mg, 50 mg",Tier 1,QL (2 tablets per 1 day)
olmesartan medoxomil oral tablet 20 mg,Tier 2,DO
olmesartan medoxomil oral tablet 40 mg,Tier 2,QL (1 tablet per 1 day)
olmesartan medoxomil oral tablet 5 mg,Tier 2,QL (2 tablets per 1 day)
valsartan oral tablet 160 mg,Tier 1,QL (2 tablets per 1 day)
valsartan oral tablet 320 mg,Tier 1,QL (1 tablet per 1 day)
"valsartan oral tablet 40 mg, 80 mg",Tier 1,QL (3 tablets per 1 day)
"amlodipine-valsartan-hctz oral tablet 10-160-12.5 mg, 10-160-25 mg, 10-320-25 mg, 5-160-25 mg",Tier 1,QL (1 tablet per 1 day)
amlodipine-valsartan-hctz oral tablet 5-160-12.5 mg,Tier 1,DO
clonidine hcl oral tablet,Tier 1,
guanfacine hcl oral tablet,Tier 1,
methyldopa oral tablet,Tier 1,
doxazosin mesylate oral tablet,Tier 1,
prazosin hcl oral capsule,Tier 1,
terazosin hcl oral capsule,Tier 1,
atenolol-chlorthalidone oral tablet,Tier 1,
bisoprolol-hydrochlorothiazide oral tablet,Tier 1,
metoprolol-hydrochlorothiazide oral tablet,Tier 1,
propranolol-hctz oral tablet,Tier 1,
hydralazine hcl oral tablet,Tier 1,
minoxidil oral tablet,Tier 1,
metronidazole oral capsule,Tier 1,
metronidazole oral tablet,Tier 1,
trimethoprim oral tablet,Tier 1,
sulfamethoxazole-trimethoprim oral suspension,Tier 1,
sulfamethoxazole-trimethoprim oral tablet,Tier 1,
sulfamethoxazole-trimethoprim (Sulfatrim Pediatric Oral Suspension),Tier 1,
ALINIA ORAL SUSPENSION RECONSTITUTED (nitazoxanide),Tier 3,
ALINIA ORAL TABLET (nitazoxanide),Tier 3,
ertapenem sodium injection solution reconstituted,Tier 2,
dapsone oral tablet,Tier 2,
clindamycin hcl oral capsule,Tier 1,
clindamycin palmitate hcl oral solution reconstituted,Tier 1,
linezolid oral suspension reconstituted,Tier 2,PA; QL (900 mL per 30 days)
linezolid oral tablet,Tier 2,PA; QL (28 tablets per 30 days)
atovaquone-proguanil hcl oral tablet,Tier 1,
COARTEM ORAL TABLET (artemether-lumefantrine),Tier 3,
chloroquine phosphate oral tablet 250 mg,Tier 1,QL (16 tablets per 1 fill)
chloroquine phosphate oral tablet 500 mg,Tier 1,QL (8 tablets per 1 fill)
DARAPRIM ORAL TABLET (pyrimethamine),Tier 3,PA; LD; QL (3 tablets per 1 day)
hydroxychloroquine sulfate oral tablet,Tier 1,QL (16 tablets per 1 fill)
mefloquine hcl oral tablet,Tier 1,
primaquine phosphate oral tablet,Tier 3,
quinine sulfate oral capsule,Tier 2,PA; QL (60 capsules per 365 days)
guanidine hcl oral tablet,Tier 2,
pyridostigmine bromide oral tablet,Tier 2,
guanidine hcl oral tablet,Tier 2,
pyridostigmine bromide oral tablet,Tier 2,
guanidine hcl oral tablet,Tier 2,
pyridostigmine bromide oral tablet,Tier 2,
RIFATER ORAL TABLET (isoniazid-rifamp-pyrazinamide),Tier 3,
cycloserine oral capsule,Tier 2,
ethambutol hcl oral tablet,Tier 2,
isoniazid oral syrup,Tier 1,
isoniazid oral tablet,Tier 1,
PRIFTIN ORAL TABLET (rifapentine),Tier 3,
pyrazinamide oral tablet,Tier 2,
rifabutin oral capsule,Tier 2,
rifampin oral capsule,Tier 2,
SIRTURO ORAL TABLET (bedaquiline fumarate),Tier 3,
MYLERAN ORAL TABLET (busulfan),Tier 4; OC,
abiraterone acetate oral tablet,Tier 4; OC,PA; SP; QL (4 tablets per 1 day)
ZYTIGA ORAL TABLET (abiraterone acetate),Tier 4; OC,PA; SP; LD; QL (2 tablets per 1 day)
LYSODREN ORAL TABLET (mitotane),Tier 4; OC,LD; QL (38 tablets per 1 day)
bicalutamide oral tablet,Tier 2; OC,
flutamide oral capsule,Tier 2; OC,
nilutamide oral tablet,Tier 4; OC,QL (1 tablet per 1 day)
XTANDI ORAL CAPSULE (enzalutamide),Tier 4; OC,PA; SP; LD; QL (4 capsules per 1 day)
tamoxifen citrate oral tablet,Tier 2; OC; $0,
toremifene citrate oral tablet,Tier 4; OC,QL (1 tablet per 1 day)
capecitabine oral tablet,Tier 4; OC,PA; SP
mercaptopurine oral tablet,Tier 2; OC,
methotrexate oral tablet,Tier 2; OC,
methotrexate sodium oral tablet,Tier 2; OC,
TABLOID ORAL TABLET (thioguanine),Tier 4; OC,
TAFINLAR ORAL CAPSULE (dabrafenib mesylate),Tier 4; OC,PA; SP; LD; QL (4 capsules per 1 day)
ZELBORAF ORAL TABLET (vemurafenib),Tier 4; OC,PA; SP; LD; QL (8 tablets per 1 day)
ERIVEDGE ORAL CAPSULE (vismodegib),Tier 4; OC,PA; SP; LD; QL (1 capsule per 1 day)
ODOMZO ORAL CAPSULE (sonidegib phosphate),Tier 4; OC,PA; SP; LD; QL (1 capsule per 1 day)
FARYDAK ORAL CAPSULE (panobinostat lactate),Tier 4; OC,PA; SP; LD; QL (1 capsule per 1 day)
ZOLINZA ORAL CAPSULE (vorinostat),Tier 4; OC,PA; SP; QL (4 capsules per 1 day)
POMALYST ORAL CAPSULE 1 MG (pomalidomide),Tier 4; OC,PA; SP; LD; QL (4 capsules per 1 day)
POMALYST ORAL CAPSULE 2 MG (pomalidomide),Tier 4; OC,PA; SP; LD; QL (2 capsules per 1 day)
"POMALYST ORAL CAPSULE 3 MG, 4 MG (pomalidomide)",Tier 4; OC,PA; SP; LD; QL (1 capsule per 1 day)
MEKINIST ORAL TABLET 0.5 MG (trametinib dimethyl sulfoxide),Tier 4; OC,PA; SP; LD; QL (3 tablets per 1 day)
MEKINIST ORAL TABLET 2 MG (trametinib dimethyl sulfoxide),Tier 4; OC,PA; SP; LD; QL (1 tablet per 1 day)
ERBITUX INTRAVENOUS SOLUTION (cetuximab),Tier 4,PA; SP
AFINITOR DISPERZ ORAL TABLET SOLUBLE (everolimus),Tier 4; OC,PA; SP
AFINITOR ORAL TABLET (everolimus),Tier 4; OC,PA; SP
everolimus oral tablet,Tier 4,PA; SP
NEXAVAR ORAL TABLET (sorafenib tosylate),Tier 4; OC,PA; SP; LD; QL (4 tablets per 1 day)
STIVARGA ORAL TABLET (regorafenib),Tier 4; OC,PA; SP; LD; QL (4 tablets per 1 day)
SUTENT ORAL CAPSULE 12.5 MG (sunitinib malate),Tier 4; OC,PA; SP; QL (3 capsules per 1 day)
"SUTENT ORAL CAPSULE 25 MG, 37.5 MG, 50 MG (sunitinib malate)",Tier 4; OC,PA; SP; QL (1 capsule per 1 day)
BOSULIF ORAL TABLET 100 MG (bosutinib),Tier 4; OC,PA; SP; QL (4 tablets per 1 day)
"BOSULIF ORAL TABLET 400 MG, 500 MG (bosutinib)",Tier 4; OC,PA; SP; QL (1 tablet per 1 day)
CAPRELSA ORAL TABLET 100 MG (vandetanib),Tier 4; OC,PA; LD; QL (3 tablets per 1 day)
CAPRELSA ORAL TABLET 300 MG (vandetanib),Tier 4; OC,PA; LD; QL (1 tablet per 1 day)
COMETRIQ (100 MG DAILY DOSE) ORAL KIT (cabozantinib s- malate),Tier 4; OC,PA; LD; QL (2 capsules per 1 day)
COMETRIQ (140 MG DAILY DOSE) ORAL KIT (cabozantinib s- malate),Tier 4; OC,PA; LD; QL (4 capsules per 1 day)
COMETRIQ (60 MG DAILY DOSE) ORAL KIT (cabozantinib s-malate),Tier 4; OC,PA; LD; QL (3 capsules per 1 day)
"erlotinib hcl oral tablet 100 mg, 150 mg",Tier 4; OC,PA; SP; QL (1 tablet per 1 day)
erlotinib hcl oral tablet 25 mg,Tier 4; OC,PA; SP; QL (3 tablets per 1 day)
GILOTRIF ORAL TABLET (afatinib dimaleate),Tier 3; OC,PA; LD; QL (1 tablet per 1 day)
ICLUSIG ORAL TABLET 15 MG (ponatinib hcl),Tier 4; OC,PA; LD; QL (2 tablets per 1 day)
ICLUSIG ORAL TABLET 45 MG (ponatinib hcl),Tier 4; OC,PA; LD; QL (1 tablet per 1 day)
imatinib mesylate oral tablet 100 mg,Tier 4; OC,PA; SP; QL (8 tablets per 1 day)
imatinib mesylate oral tablet 400 mg,Tier 4; OC,PA; SP; QL (2 tablets per 1 day)
IMBRUVICA ORAL CAPSULE 140 MG (ibrutinib),Tier 4; OC,PA; LD; QL (3 capsules per 1 day)
IMBRUVICA ORAL CAPSULE 70 MG (ibrutinib),Tier 4; OC,PA; LD; QL (1 capsule per 1 day)
IMBRUVICA ORAL TABLET (ibrutinib),Tier 4; OC,PA; LD; QL (1 tablet per 1 day)
INLYTA ORAL TABLET 1 MG (axitinib),Tier 4; OC,PA; SP; LD; QL (8 tablets per 1 day)
INLYTA ORAL TABLET 5 MG (axitinib),Tier 4; OC,PA; SP; LD; QL (4 tablets per 1 day)
LENVIMA (10 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (1 capsule per 1 day)
LENVIMA (12 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (1 pack per 30 days)
LENVIMA (14 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (2 capsules per 1 day)
LENVIMA (18 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (1 pack per 30 days)
LENVIMA (20 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (2 capsules per 1 day)
LENVIMA (24 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (3 capsules per 1 day)
LENVIMA (4 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (30 capsules per 30 days)
LENVIMA (8 MG DAILY DOSE) ORAL CAPSULE THERAPY PACK (lenvatinib mesylate),Tier 4; OC,PA; SP; LD; QL (1 pack per 30 days)
SPRYCEL ORAL TABLET (dasatinib),Tier 4; OC,PA; SP; QL (1 tablet per 1 day)
"TASIGNA ORAL CAPSULE 150 MG, 200 MG (nilotinib hcl)",Tier 4; OC,PA; SP; QL (4 capsules per 1 day)
TASIGNA ORAL CAPSULE 50 MG (nilotinib hcl),Tier 4; OC,PA; SP; QL (4 capsule per 1 day)
TYKERB ORAL TABLET (lapatinib ditosylate),Tier 4; OC,PA; SP; LD; QL (6 tablets per 1 day)
VOTRIENT ORAL TABLET (pazopanib hcl),Tier 4; OC,PA; SP; LD; QL (4 tablets per 1 day)
XALKORI ORAL CAPSULE (crizotinib),Tier 4; OC,PA; SP; LD; QL (2 capsules per 1 day)
ALFERON N INJECTION SOLUTION (interferon alfa-n3),Tier 4,SP
hydroxyurea oral capsule,Tier 2; OC,
INTRON A INJECTION SOLUTION (interferon alfa-2b),Tier 4,SP; LD
INTRON A INJECTION SOLUTION RECONSTITUTED (interferon alfa-2b),Tier 4,SP; LD
MATULANE ORAL CAPSULE (procarbazine hcl),Tier 4; OC,LD
anastrozole oral tablet,Tier 2; OC,QL (1 tablet per 1 day)
exemestane oral tablet,Tier 2; OC,QL (2 tablets per 1 day)
letrozole oral tablet,Tier 2; OC,QL (1 tablet per 1 day)
EMCYT ORAL CAPSULE (estramustine phosphate sodium),Tier 4; OC,PA
leucovorin calcium oral tablet,Tier 2,
"temozolomide oral capsule 100 mg, 250 mg",Tier 4; OC,PA; SP; QL (2 capsule per 1 day)
"temozolomide oral capsule 140 mg, 180 mg",Tier 4; OC,PA; SP; QL (2 capsules per 1 day)
temozolomide oral capsule 20 mg,Tier 4; OC,PA; SP; QL (4 capsule per 1 day)
temozolomide oral capsule 5 mg,Tier 4; OC,PA; SP; QL (3 capsule per 1 day)
JAKAFI ORAL TABLET 10 MG (ruxolitinib phosphate),Tier 4; OC,PA; SP; LD; QL (5 tablets per 1 day)
JAKAFI ORAL TABLET 15 MG (ruxolitinib phosphate),Tier 4; OC,PA; SP; LD; QL (100 tablets per 30 days)
JAKAFI ORAL TABLET 20 MG (ruxolitinib phosphate),Tier 4; OC,PA; SP; LD; QL (2.5 tablets per 1 day)
JAKAFI ORAL TABLET 25 MG (ruxolitinib phosphate),Tier 4; OC,PA; SP; LD; QL (2 tablets per 1 day)
JAKAFI ORAL TABLET 5 MG (ruxolitinib phosphate),Tier 4; OC,PA; SP; LD; QL (10 tablets per 1 day)
leuprolide acetate injection kit,Tier 4,PA; SP
etoposide oral capsule,Tier 4; OC,SP
cyclophosphamide oral capsule,Tier 4; OC,SP
LEUKERAN ORAL TABLET (chlorambucil),Tier 4; OC,
melphalan oral tablet,Tier 4; OC,SP
GLEOSTINE ORAL CAPSULE (lomustine),Tier 4; OC,PA
tretinoin oral capsule,Tier 2; OC,
bexarotene oral capsule,Tier 4; OC,PA; SP; QL (10 capsules per 1 day)
HYCAMTIN ORAL CAPSULE (topotecan hcl),Tier 4; OC,PA; SP
benztropine mesylate oral tablet,Tier 1,
trihexyphenidyl hcl oral solution,Tier 1,
trihexyphenidyl hcl oral tablet,Tier 1,
amantadine hcl oral capsule,Tier 2,QL (4 capsule per 1 day)
amantadine hcl oral syrup,Tier 2,
amantadine hcl oral tablet,Tier 2,QL (4 tablets per 1 day)
bromocriptine mesylate oral capsule,Tier 1,
bromocriptine mesylate oral tablet,Tier 1,
rasagiline mesylate oral tablet,Tier 2,
selegiline hcl oral capsule,Tier 2,
selegiline hcl oral tablet,Tier 2,
carbidopa oral tablet,Tier 2,
carbidopa-levodopa er oral tablet extended release,Tier 2,
carbidopa-levodopa oral tablet,Tier 1,
carbidopa-levodopa oral tablet dispersible,Tier 2,
APOKYN SUBCUTANEOUS SOLUTION CARTRIDGE (apomorphine hcl),Tier 4,PA; SP; LD; QL (2 mL per 1 day)
pramipexole dihydrochloride oral tablet,Tier 2,QL (3 tablets per 1 day)
ropinirole hcl er oral tablet extended release 24 hour,Tier 2,
ropinirole hcl oral tablet,Tier 1,
entacapone oral tablet,Tier 2,QL (8 tablets per 1 day)
lithium carbonate er oral tablet extended release,Tier 1,
lithium carbonate oral capsule,Tier 1,
lithium carbonate oral tablet,Tier 1,
lithium oral solution,Tier 2,
ziprasidone hcl oral capsule,Tier 2,
risperidone oral solution,Tier 1,
risperidone oral tablet,Tier 1,
risperidone oral tablet dispersible,Tier 2,
haloperidol oral tablet,Tier 1,
clozapine oral tablet,Tier 2,
clozapine oral tablet dispersible,Tier 2,
quetiapine fumarate oral tablet,Tier 2,
loxapine succinate oral capsule,Tier 1,
chlorpromazine hcl oral tablet,Tier 2,
fluphenazine hcl oral concentrate,Tier 1,
fluphenazine hcl oral elixir,Tier 1,
fluphenazine hcl oral tablet,Tier 1,
perphenazine oral tablet,Tier 1,
prochlorperazine maleate oral tablet,Tier 1,
thioridazine hcl oral tablet,Tier 1,
trifluoperazine hcl oral tablet,Tier 1,
aripiprazole oral solution,Tier 2,
aripiprazole oral tablet,Tier 2,
olanzapine oral tablet,Tier 2,
olanzapine oral tablet dispersible,Tier 2,
thiothixene oral capsule,Tier 1,
abacavir sulfate-lamivudine oral tablet,Tier 2,QL (1 tablet per 1 day)
abacavir-lamivudine-zidovudine oral tablet,Tier 2,QL (2 tablets per 1 day)
BIKTARVY ORAL TABLET (bictegravir-emtricitab-tenofov),Tier 2,QL (1 tablet per 1 day)
GENVOYA ORAL TABLET (elviteg-cobic-emtricit-tenofaf),Tier 2,QL (1 tablet per 1 day)
KALETRA ORAL TABLET 100-25 MG (lopinavir-ritonavir),Tier 2,QL (10 tablets per 1 day)
KALETRA ORAL TABLET 200-50 MG (lopinavir-ritonavir),Tier 2,QL (4 tablets per 1 day)
lamivudine-zidovudine oral tablet,Tier 1,QL (2 tablets per 1 day)
lopinavir-ritonavir oral solution,Tier 2,QL (16 mL per 1 day)
STRIBILD ORAL TABLET (elviteg-cobic-emtricit-tenofdf),Tier 2,QL (1 tablet per 1 day)
TRIUMEQ ORAL TABLET (abacavir-dolutegravir-lamivud),Tier 2,
TRUVADA ORAL TABLET (emtricitabine-tenofovir df),Tier 2,QL (1 tablet per 1 day)
"SELZENTRY ORAL TABLET 150 MG, 300 MG (maraviroc)",Tier 2,QL (4 tablets per 1 day)
SELZENTRY ORAL TABLET 25 MG (maraviroc),Tier 2,QL (8 tablets per 1 day)
SELZENTRY ORAL TABLET 75 MG (maraviroc),Tier 2,QL (2 tablets per 1 day)
FUZEON SUBCUTANEOUS SOLUTION RECONSTITUTED (enfuvirtide),Tier 2,PA
ISENTRESS ORAL TABLET (raltegravir potassium),Tier 2,QL (4 tablets per 1 day)
ISENTRESS ORAL TABLET CHEWABLE 100 MG (raltegravir potassium),Tier 2,QL (6 tablets per 1 day)
ISENTRESS ORAL TABLET CHEWABLE 25 MG (raltegravir potassium),Tier 2,QL (24 tablets per 1 day)
TIVICAY ORAL TABLET (dolutegravir sodium),Tier 2,QL (2 tablets per 1 day)
APTIVUS ORAL CAPSULE (tipranavir),Tier 2,QL (4 capsules per 1 day)
APTIVUS ORAL SOLUTION (tipranavir),Tier 2,
"atazanavir sulfate oral capsule 150 mg, 200 mg",Tier 2,QL (2 capsules per 1 day)
atazanavir sulfate oral capsule 300 mg,Tier 2,QL (1 capsule per 1 day)
CRIXIVAN ORAL CAPSULE 200 MG (indinavir sulfate),Tier 2,QL (12 capsules per 1 day)
CRIXIVAN ORAL CAPSULE 400 MG (indinavir sulfate),Tier 2,QL (6 capsules per 1 day)
fosamprenavir calcium oral tablet,Tier 2,QL (4 tablets per 1 day)
INVIRASE ORAL TABLET (saquinavir mesylate),Tier 2,QL (4 tablets per 1 day)
LEXIVA ORAL SUSPENSION (fosamprenavir calcium),Tier 2,QL (60 mL per 1 day)
NORVIR ORAL SOLUTION (ritonavir),Tier 2,QL (16 mL per 1 day)
PREZISTA ORAL SUSPENSION (darunavir ethanolate),Tier 2,QL (14 mL per 1 day)
PREZISTA ORAL TABLET 150 MG (darunavir ethanolate),Tier 2,QL (6 tablets per 1 day)
PREZISTA ORAL TABLET 600 MG (darunavir ethanolate),Tier 2,QL (2 tablets per 1 day)
PREZISTA ORAL TABLET 75 MG (darunavir ethanolate),Tier 2,QL (10 tablets per 1 day)
