Prescription Drug Name,Drug Tier,Coverage Requirements and Limits,Insurer
PARI LC PLUS (nebulizers),Tier 3,,Anthem-Blue-Cross
PARI LC PLUS NEB SET PED MASK (nebulizers),Tier 3,,Anthem-Blue-Cross
PARI LC STAR (nebulizers),Tier 3,,Anthem-Blue-Cross
PARI PRONEB ULTRA II (nebulizers),Tier 3,,Anthem-Blue-Cross
PHILLIPS WILLIS THE WHALE NEB (nebulizers),Tier 3,,Anthem-Blue-Cross
PROCARE COMPRESSOR NEBULIZER (nebulizers),Tier 3,,Anthem-Blue-Cross
PRONEB ULTRA II DELUXE/LC STAR (nebulizers),Tier 3,,Anthem-Blue-Cross
BD INSULIN SYR ULTRAFINE II (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
BD INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
BD INSULIN SYRINGE ULTRAFINE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
crono syringe,Tier 3,,Anthem-Blue-Cross
dialysis safety syringe/needle,Tier 3,,Anthem-Blue-Cross
DROPLET INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
easy comfort insulin syringe,Tier 3,,Anthem-Blue-Cross
EASY TOUCH PEN NEEDLES (insulin pen needle),Tier 3,,Anthem-Blue-Cross
elite-thin insulin syringe,Tier 3,,Anthem-Blue-Cross
GLUCOPRO INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
healthwise insulin syr/needle,Tier 3,,Anthem-Blue-Cross
HM ULTICARE INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
insulin syringe,Tier 3,,Anthem-Blue-Cross
insulin syringe/needle,Tier 3,,Anthem-Blue-Cross
kinray insulin syringe,Tier 3,,Anthem-Blue-Cross
LUER LOCK SAFETY SYRINGES (syringe/needle (disp)),Tier 3,,Anthem-Blue-Cross
"MAXICOMFORT SYR 27G X 1/2"" (insulin syringe-needle u-100)",Tier 3,,Anthem-Blue-Cross
medic insulin syringe,Tier 3,,Anthem-Blue-Cross
MONOJECT BLUNTIP SYR/CANNULA (syringe (disposable)),Tier 3,,Anthem-Blue-Cross
MONOJECT CONTROL SYRINGE (syringe (disposable)),Tier 3,,Anthem-Blue-Cross
MONOJECT LIFESHIELD SYRINGE (syringe/needle (disp)),Tier 3,,Anthem-Blue-Cross
MONOJECT MAGELLAN SYRINGE (syringe/needle (disp)),Tier 3,,Anthem-Blue-Cross
MONOJECT SYRINGE LUER LOCK (syringe (disposable)),Tier 3,,Anthem-Blue-Cross
pen needles,Tier 3,,Anthem-Blue-Cross
PRECISION SUREDOSE PLUS SYR (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
PRECISION SURE-DOSE SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
pure comfort pen needle,Tier 3,,Anthem-Blue-Cross
reality insulin syringe,Tier 3,,Anthem-Blue-Cross
safety insulin syringes,Tier 3,,Anthem-Blue-Cross
safety syringe/needle,Tier 3,,Anthem-Blue-Cross
safety syringes/needle,Tier 3,,Anthem-Blue-Cross
SECURESAFE INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
SECURESAFE SYRINGE/NEEDLE (syringe/needle (disp)),Tier 3,,Anthem-Blue-Cross
SECURESAFE TUBERCULIN SYRINGE (tuberculin-allergy syringes),Tier 3,,Anthem-Blue-Cross
SURE-JECT INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
syringe,Tier 3,,Anthem-Blue-Cross
syringe luer lock,Tier 3,,Anthem-Blue-Cross
syringe luer slip,Tier 3,,Anthem-Blue-Cross
syringe/hypodermic safety,Tier 3,,Anthem-Blue-Cross
ULTICARE SYRINGE (syringe/needle (disp)),Tier 3,,Anthem-Blue-Cross
ULTILET INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
ULTILET INSULIN SYRINGE SHORT (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
ultra comfort insulin syringe,Tier 3,,Anthem-Blue-Cross
VANISHPOINT INSULIN SYRINGE (insulin syringe-needle u-100),Tier 3,,Anthem-Blue-Cross
VANISHPOINT SAFETY SYRINGE (syringe/needle (disp)),Tier 3,,Anthem-Blue-Cross
VANISHPOINT SYRINGE (syringe/needle (disp)),Tier 3,,Anthem-Blue-Cross
ASTHMAPACK I KIT (peak flow meter-inh assist dev),Tier 3,,Anthem-Blue-Cross
ASTHMAPACK II KIT (peak flow meter-inh assist dev),Tier 3,,Anthem-Blue-Cross
ASTHMAPACK III KIT (peak flow meter-inh assist dev),Tier 3,,Anthem-Blue-Cross
pro comfort spacer adult,Tier 3,,Anthem-Blue-Cross
pro comfort spacer child,Tier 3,,Anthem-Blue-Cross
ergotamine-caffeine oral tablet,Tier 1,,Anthem-Blue-Cross
MIGERGOT RECTAL SUPPOSITORY (ergotamine-caffeine),Tier 1,,Anthem-Blue-Cross
dihydroergotamine mesylate nasal solution,Tier 2,QL (8 bottles per 30 days),Anthem-Blue-Cross
naratriptan hcl oral tablet,Tier 1,QL (9 tablets per 30 days),Anthem-Blue-Cross
rizatriptan benzoate oral tablet,Tier 1,QL (9 tablets per 30 days),Anthem-Blue-Cross
rizatriptan benzoate oral tablet dispersible,Tier 1,QL (9 tablets per 30 days),Anthem-Blue-Cross
sumatriptan succinate oral tablet,Tier 1,QL (9 tablets per 30 days),Anthem-Blue-Cross
sumatriptan succinate refill subcutaneous solution cartridge,Tier 2,QL (6 cartridges per 30 days),Anthem-Blue-Cross
sumatriptan succinate subcutaneous solution,Tier 2,QL (5 vial per 30 days),Anthem-Blue-Cross
sumatriptan succinate subcutaneous solution auto-injector 4 mg/0.5ml,Tier 2,QL (6 syringes per 30 days),Anthem-Blue-Cross
sumatriptan succinate subcutaneous solution auto-injector 6 mg/0.5ml,Tier 2,QL (6 cartriges per 30 days),Anthem-Blue-Cross
sumatriptan succinate subcutaneous solution prefilled syringe,Tier 2,QL (2 syringes per 30 days),Anthem-Blue-Cross
calcium + d3 oral tablet,Tier 1,,Anthem-Blue-Cross
PRONUTRIENTS CALCIUM+D3 ORAL TABLET (calcium carb- cholecalciferol),Tier 1,,Anthem-Blue-Cross
fluoritab oral tablet chewable,Tier 1; $0,,Anthem-Blue-Cross
sodium fluoride (Ludent Oral Tablet Chewable),Tier 1; $0,,Anthem-Blue-Cross
sodium fluoride (Nafrinse Oral Tablet Chewable),Tier 1; $0,,Anthem-Blue-Cross
sodium fluoride oral solution,Tier 1; $0,,Anthem-Blue-Cross
sodium fluoride oral tablet,Tier 1; $0,,Anthem-Blue-Cross
sodium fluoride oral tablet chewable,Tier 1; $0,,Anthem-Blue-Cross
EFFER-K ORAL TABLET EFFERVESCENT (potassium bicarb-citric acid),Tier 3,,Anthem-Blue-Cross
pot bicarb-pot chloride oral tablet effervescent,Tier 1,,Anthem-Blue-Cross
potassium bicarbonate (Effer-K Oral Tablet Effervescent),Tier 1,,Anthem-Blue-Cross
potassium chloride (Klor-Con 10 Oral Tablet Extended Release),Tier 1,,Anthem-Blue-Cross
potassium chloride crys er (Klor-Con M10 Oral Tablet Extended Release),Tier 1,,Anthem-Blue-Cross
KLOR-CON M15 ORAL TABLET EXTENDED RELEASE (potassium chloride crys er),Tier 1,,Anthem-Blue-Cross
potassium chloride crys er (Klor-Con M20 Oral Tablet Extended Release),Tier 1,,Anthem-Blue-Cross
potassium chloride (Klor-Con Oral Tablet Extended Release),Tier 1,,Anthem-Blue-Cross
potassium chloride (Klor-Con Sprinkle Oral Capsule Extended Release),Tier 1,,Anthem-Blue-Cross
potassium bicarbonate (Klor-Con/Ef Oral Tablet Effervescent),Tier 1,,Anthem-Blue-Cross
potassium bicarbonate (K-Prime Oral Tablet Effervescent),Tier 1,,Anthem-Blue-Cross
potassium bicarbonate oral tablet effervescent,Tier 1,,Anthem-Blue-Cross
potassium chloride crys er oral tablet extended release,Tier 1,,Anthem-Blue-Cross
potassium chloride er oral capsule extended release,Tier 1,,Anthem-Blue-Cross
potassium chloride er oral tablet extended release,Tier 1,,Anthem-Blue-Cross
sodium chloride (pf) injection solution,Tier 1,,Anthem-Blue-Cross
sodium chloride injection solution,Tier 1,,Anthem-Blue-Cross
sodium chloride intravenous solution,Tier 1,,Anthem-Blue-Cross
CAYSTON INHALATION SOLUTION RECONSTITUTED (aztreonam lysine),Tier 4,LD,Anthem-Blue-Cross
lidocaine viscous hcl mouth/throat solution,Tier 1,QL (10 mL per 1 day),Anthem-Blue-Cross
clotrimazole mouth/throat lozenge,Tier 2,QL (5 tablet per 1 day),Anthem-Blue-Cross
clotrimazole mouth/throat troche,Tier 2,QL (5 tablet per 1 day),Anthem-Blue-Cross
nystatin mouth/throat suspension,Tier 1,,Anthem-Blue-Cross
chlorhexidine gluconate mouth/throat solution,Tier 1,,Anthem-Blue-Cross
chlorhexidine gluconate (Paroex Mouth/Throat Solution),Tier 1,,Anthem-Blue-Cross
chlorhexidine gluconate (Periogard Mouth/Throat Solution),Tier 1,,Anthem-Blue-Cross
sodium fluoride (Cavarest Dental Gel),Tier 1,,Anthem-Blue-Cross
sodium fluoride (Clinpro 5000 Dental Paste),Tier 1,,Anthem-Blue-Cross
sodium fluoride (Dentagel Dental Gel),Tier 1,,Anthem-Blue-Cross
neutral sodium fluoride mouth/throat solution,Tier 1,,Anthem-Blue-Cross
sf dental gel,Tier 1,,Anthem-Blue-Cross
sodium fluoride 5000 ppm dental cream,Tier 1,,Anthem-Blue-Cross
cevimeline hcl oral capsule,Tier 2,,Anthem-Blue-Cross
triamcinolone acetonide (Oralone Mouth/Throat Paste),Tier 1,,Anthem-Blue-Cross
triamcinolone acetonide mouth/throat paste,Tier 1,,Anthem-Blue-Cross
b-plex oral tablet,Tier 1,,Anthem-Blue-Cross
multivitamin/fluoride oral solution,Tier 1; $0,,Anthem-Blue-Cross
multi-vitamin/fluoride oral solution,Tier 1; $0,,Anthem-Blue-Cross
multivitamin/fluoride oral tablet chewable,Tier 1; $0,,Anthem-Blue-Cross
multivitamins/fluoride oral tablet chewable,Tier 1; $0,,Anthem-Blue-Cross
pediatric multivitamins-fl (Mvc-Fluoride Oral Tablet Chewable),Tier 1; $0,,Anthem-Blue-Cross
polyvitamin/fluoride oral solution,Tier 3; $0,,Anthem-Blue-Cross
adc/f (0.5mg/ml) oral solution,Tier 1; $0,,Anthem-Blue-Cross
tri-vitamin/fluoride oral solution,Tier 1; $0,,Anthem-Blue-Cross
tri-vite/fluoride oral solution,Tier 1; $0,,Anthem-Blue-Cross
vitamins acd-fluoride oral solution,Tier 1; $0,,Anthem-Blue-Cross
ATABEX EC ORAL TABLET DELAYED RELEASE (prenatal vit-dss-fe cbn-fa),Tier 2,,Anthem-Blue-Cross
ATABEX OB ORAL TABLET (prenatal vit w/ fe bisg-fa),Tier 2,,Anthem-Blue-Cross
BAL-CARE DHA ORAL (prenat-fepoly-fered-fa-omega 3),Tier 2,,Anthem-Blue-Cross
CITRANATAL B-CALM ORAL (prenat w/o a fecbnfeglu-fa &b6),Tier 2,,Anthem-Blue-Cross
completenate oral tablet chewable,Tier 2,,Anthem-Blue-Cross
CO-NATAL FA ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
CONCEPT DHA ORAL CAPSULE (prenat-fefum-fepo-fa-omega 3),Tier 2,,Anthem-Blue-Cross
CONCEPT OB ORAL CAPSULE (prenat w/o a vit-fefum-fepo-fa),Tier 2,,Anthem-Blue-Cross
ELITE-OB ORAL TABLET (prenatal vit-iron carbonyl-fa),Tier 1,,Anthem-Blue-Cross
FOLIVANE-OB ORAL CAPSULE (prenat w/o a vit-fefum-fepo-fa),Tier 2,,Anthem-Blue-Cross
INATAL GT ORAL TABLET (prenatal vit-dss-fe cbn-fa),Tier 1,,Anthem-Blue-Cross
M-VIT ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
MYNATAL ADVANCE ORAL TABLET (prenatal vit-dss-fe cbn-fa),Tier 2,,Anthem-Blue-Cross
MYNATAL ORAL CAPSULE (prenatal multivit-min-fe-fa),Tier 2,,Anthem-Blue-Cross
MYNATAL ORAL TABLET (prenatal vit-dss-fe cbn-fa),Tier 2,,Anthem-Blue-Cross
mynatal plus oral tablet,Tier 2,,Anthem-Blue-Cross
mynatal-z oral tablet,Tier 2,,Anthem-Blue-Cross
mynate 90 plus oral tablet extended release,Tier 2,,Anthem-Blue-Cross
NATALVIT ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
neonatal complete oral tablet,Tier 2,,Anthem-Blue-Cross
NEONATAL PLUS ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
NIVA-PLUS ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
OBSTETRIX DHA ORAL (prenatal-fecbn-fa-dss-omega 3),Tier 2,,Anthem-Blue-Cross
OBSTETRIX EC ORAL TABLET (prenatal vit-dss-fe cbn-fa),Tier 2,,Anthem-Blue-Cross
OBTREX DHA ORAL (prenatal-fecbn-fa-dss-omega 3),Tier 2,,Anthem-Blue-Cross
O-CAL PRENATAL ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
pnv folic acid + iron oral tablet,Tier 2,,Anthem-Blue-Cross
pnv prenatal plus multivit+dha oral,Tier 2,,Anthem-Blue-Cross
pnv prenatal plus multivitamin oral tablet,Tier 2,,Anthem-Blue-Cross
pnv tabs 29-1 oral tablet,Tier 2,,Anthem-Blue-Cross
PRENATA ORAL TABLET CHEWABLE (prenatal w/o a vit-fe fum-fa),Tier 2,,Anthem-Blue-Cross
PRENATABS RX ORAL TABLET (prenatal vit-iron carbonyl-fa),Tier 1,,Anthem-Blue-Cross
prenatal 19 oral tablet,Tier 1,,Anthem-Blue-Cross
prenatal 19 oral tablet 29-1 mg,Tier 2,,Anthem-Blue-Cross
prenatal 19 oral tablet chewable,Tier 1,,Anthem-Blue-Cross
prenatal 19 oral tablet chewable 29-1 mg,Tier 2,,Anthem-Blue-Cross
prenatal one daily oral tablet,Tier 2,,Anthem-Blue-Cross
prenatal oral tablet,Tier 2,,Anthem-Blue-Cross
prenatal plus iron oral tablet,Tier 2,,Anthem-Blue-Cross
prenatal plus oral tablet,Tier 2,,Anthem-Blue-Cross
prenatal vitamin plus low iron oral tablet,Tier 2,,Anthem-Blue-Cross
PRENATAL-U ORAL CAPSULE (prenatal w/o a vit-fe fum-fa),Tier 2,,Anthem-Blue-Cross
preplus oral tablet,Tier 2,,Anthem-Blue-Cross
pretab oral tablet,Tier 2,,Anthem-Blue-Cross
PROVIDA OB ORAL CAPSULE (prenat w/o a vit-fefum-fepo-fa),Tier 2,,Anthem-Blue-Cross
SELECT-OB ORAL TABLET CHEWABLE (prenatal vit-fe psac cmplx- fa),Tier 2,,Anthem-Blue-Cross
se-natal 19 oral tablet,Tier 2,,Anthem-Blue-Cross
se-natal 19 oral tablet chewable,Tier 2,,Anthem-Blue-Cross
TARON-C DHA ORAL CAPSULE (prenat-fefum-fepo-fa-omega 3),Tier 2,,Anthem-Blue-Cross
thrivite rx oral tablet,Tier 2,,Anthem-Blue-Cross
TRICARE ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
TRICARE PRENATAL DHA ONE ORAL CAPSULE (prenatal-fefum-fa- dss-fish oil),Tier 2,,Anthem-Blue-Cross
trinatal rx 1 oral tablet,Tier 2,,Anthem-Blue-Cross
TRINATE ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 1,,Anthem-Blue-Cross
tri-tabs dha oral,Tier 2,,Anthem-Blue-Cross
VINATE CARE ORAL TABLET CHEWABLE (prenatal w/o a vit-fe fum-fa),Tier 2,,Anthem-Blue-Cross
VINATE II ORAL TABLET (prenatal vit w/ fe bisg-fa),Tier 2,,Anthem-Blue-Cross
VINATE M ORAL TABLET (prenatal vit-sel-fe fum-fa),Tier 2,,Anthem-Blue-Cross
VINATE ONE ORAL TABLET (prenatal vit-fe fumarate-fa),Tier 2,,Anthem-Blue-Cross
virt-c dha oral capsule,Tier 2,,Anthem-Blue-Cross
VITAFOL GUMMIES ORAL TABLET CHEWABLE (prenatal vit-fe phos-fa-omega),Tier 2,,Anthem-Blue-Cross
VITATHELY WITH GINGER ORAL TABLET (prenatal vit-fe fumarate- fa),Tier 2,,Anthem-Blue-Cross
vol-plus oral tablet,Tier 2,,Anthem-Blue-Cross
vol-tab rx oral tablet,Tier 2,,Anthem-Blue-Cross
vp-heme ob + dha oral,Tier 2,,Anthem-Blue-Cross
complete natal dha oral,Tier 2,,Anthem-Blue-Cross
PR NATAL 400 EC ORAL (prenat-febis-fepro-fa-ca-omega),Tier 2,,Anthem-Blue-Cross
PR NATAL 400 ORAL (prenat-febis-fepro-fa-ca-omega),Tier 2,,Anthem-Blue-Cross
PR NATAL 430 EC ORAL (prenat-febis-fepro-fa-ca-omega),Tier 2,,Anthem-Blue-Cross
PR NATAL 430 ORAL (prenat-febis-fepro-fa-ca-omega),Tier 2,,Anthem-Blue-Cross
TRIVEEN-DUO DHA ORAL (prenat-febis-fepro-fa-ca-omega),Tier 2,,Anthem-Blue-Cross
cadeau dha oral capsule,Tier 2,,Anthem-Blue-Cross
OBSTETRIX ONE ORAL CAPSULE (prenat-fe-methyl-dss-dha w/o a),Tier 2,,Anthem-Blue-Cross
prena 1 true oral,Tier 2,,Anthem-Blue-Cross
TARON-PREX ORAL CAPSULE (prenat-fefum-dss-fa-dha w/o a),Tier 2,,Anthem-Blue-Cross
baclofen oral tablet 10 mg,Tier 2,QL (3 tablets per 1 day),Anthem-Blue-Cross
baclofen oral tablet 20 mg,Tier 2,QL (4 tablets per 1 day),Anthem-Blue-Cross
chlorzoxazone oral tablet,Tier 1,,Anthem-Blue-Cross
cyclobenzaprine hcl oral tablet,Tier 1,,Anthem-Blue-Cross
tizanidine hcl oral capsule,Tier 1,,Anthem-Blue-Cross
tizanidine hcl oral tablet,Tier 1,,Anthem-Blue-Cross
dantrolene sodium oral capsule,Tier 2,,Anthem-Blue-Cross
azelastine hcl nasal solution,Tier 1,QL (1 bottle per 28 days),Anthem-Blue-Cross
olopatadine hcl nasal solution,Tier 1,QL (1 bottle per 30 days),Anthem-Blue-Cross
fluticasone propionate nasal suspension,Tier 1,QL (1 bottle per 30 days),Anthem-Blue-Cross
triamcinolone acetonide nasal aerosol,Tier 1,QL (1 bottle per 30 days),Anthem-Blue-Cross
amino acids (Aminoamrms Oral Capsule),Tier 1,,Anthem-Blue-Cross
dorzolamide hcl-timolol mal ophthalmic solution,Tier 1,,Anthem-Blue-Cross
betaxolol hcl ophthalmic solution,Tier 1,,Anthem-Blue-Cross
carteolol hcl ophthalmic solution,Tier 1,,Anthem-Blue-Cross
timolol maleate ophthalmic gel forming solution,Tier 1,,Anthem-Blue-Cross
timolol maleate ophthalmic solution,Tier 1,,Anthem-Blue-Cross
PHOSPHOLINE IODIDE OPHTHALMIC SOLUTION RECONSTITUTED (echothiophate iodide),Tier 3,,Anthem-Blue-Cross
ALOCRIL OPHTHALMIC SOLUTION (nedocromil sodium),Tier 3,ST; QL (1 bottle per 30 days),Anthem-Blue-Cross
ALOMIDE OPHTHALMIC SOLUTION (lodoxamide tromethamine),Tier 3,ST; QL (1 bottle per 30 days),Anthem-Blue-Cross
azelastine hcl ophthalmic solution,Tier 1,QL (1 bottle per 24 days),Anthem-Blue-Cross
cromolyn sodium ophthalmic solution,Tier 1,QL (1 bottle per 30 days),Anthem-Blue-Cross
epinastine hcl ophthalmic solution,Tier 1,QL (1 bottle per 30 days),Anthem-Blue-Cross
"olopatadine hcl ophthalmic solution 0.1 %, 0.2 %",Tier 2,ST; QL (1 bottle per 30 days),Anthem-Blue-Cross
bacitracin ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
BESIVANCE OPHTHALMIC SUSPENSION (besifloxacin hcl),Tier 3,,Anthem-Blue-Cross
ciprofloxacin hcl ophthalmic solution,Tier 1,,Anthem-Blue-Cross
erythromycin ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
GENTAK OPHTHALMIC OINTMENT (gentamicin sulfate),Tier 1,,Anthem-Blue-Cross
gentamicin sulfate ophthalmic solution,Tier 1,,Anthem-Blue-Cross
levofloxacin ophthalmic solution,Tier 1,,Anthem-Blue-Cross
moxifloxacin hcl ophthalmic solution,Tier 1,,Anthem-Blue-Cross
ofloxacin ophthalmic solution,Tier 1,,Anthem-Blue-Cross
tobramycin ophthalmic solution,Tier 1,,Anthem-Blue-Cross
ak-poly-bac ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
bacitracin-polymyxin b ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
neomycin-bacitracin zn-polymyx ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
neomycin-polymyxin-gramicidin ophthalmic solution,Tier 1,,Anthem-Blue-Cross
neomycin-bacitracin zn-polymyx (Neo-Polycin Ophthalmic Ointment),Tier 1,,Anthem-Blue-Cross
bacitracin-polymyxin b (Polycin Ophthalmic Ointment),Tier 1,,Anthem-Blue-Cross
polymyxin b-trimethoprim ophthalmic solution,Tier 1,,Anthem-Blue-Cross
ZIRGAN OPHTHALMIC GEL (ganciclovir),Tier 3,,Anthem-Blue-Cross
dorzolamide hcl ophthalmic solution,Tier 1,,Anthem-Blue-Cross
diclofenac sodium ophthalmic solution,Tier 1,,Anthem-Blue-Cross
ketorolac tromethamine ophthalmic solution,Tier 1,,Anthem-Blue-Cross
apraclonidine hcl ophthalmic solution,Tier 1,,Anthem-Blue-Cross
brimonidine tartrate ophthalmic solution,Tier 1,,Anthem-Blue-Cross
bacitra-neomycin-polymyxin-hc ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
neomycin-polymyxin-dexameth ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
neomycin-polymyxin-dexameth ophthalmic suspension,Tier 1,,Anthem-Blue-Cross
neomycin-polymyxin-hc ophthalmic suspension,Tier 1,,Anthem-Blue-Cross
bacitracin-polymyx-neo-hc (Neo-Polycin Hc Ophthalmic Ointment),Tier 1,,Anthem-Blue-Cross
sulfacetamide-prednisolone ophthalmic solution,Tier 1,,Anthem-Blue-Cross
tobramycin-dexamethasone ophthalmic suspension,Tier 1,,Anthem-Blue-Cross
dexamethasone sodium phosphate ophthalmic solution,Tier 1,,Anthem-Blue-Cross
fluorometholone ophthalmic suspension,Tier 1,,Anthem-Blue-Cross
LOTEMAX OPHTHALMIC GEL (loteprednol etabonate),Tier 3,,Anthem-Blue-Cross
LOTEMAX OPHTHALMIC OINTMENT (loteprednol etabonate),Tier 3,,Anthem-Blue-Cross
loteprednol etabonate ophthalmic suspension,Tier 2,,Anthem-Blue-Cross
prednisolone acetate ophthalmic suspension,Tier 1,,Anthem-Blue-Cross
prednisolone sodium phosphate ophthalmic solution,Tier 1,,Anthem-Blue-Cross
sulfacetamide sodium ophthalmic ointment,Tier 1,,Anthem-Blue-Cross
sulfacetamide sodium ophthalmic solution,Tier 1,,Anthem-Blue-Cross
bimatoprost ophthalmic solution,Tier 2,,Anthem-Blue-Cross
latanoprost ophthalmic solution,Tier 1,,Anthem-Blue-Cross
LUMIGAN OPHTHALMIC SOLUTION (bimatoprost),Tier 3,,Anthem-Blue-Cross
TRAVATAN Z OPHTHALMIC SOLUTION (travoprost),Tier 3,,Anthem-Blue-Cross
travoprost (bak free) ophthalmic solution,Tier 2,,Anthem-Blue-Cross
acetic acid otic solution,Tier 1,,Anthem-Blue-Cross
pramoxine-hc-chloroxylenol (Cortic-Nd Otic Solution),Tier 1,,Anthem-Blue-Cross
exotic-hc otic solution,Tier 1,,Anthem-Blue-Cross
ciprofloxacin hcl otic solution,Tier 1,,Anthem-Blue-Cross
ofloxacin otic solution,Tier 1,,Anthem-Blue-Cross
CIPRODEX OTIC SUSPENSION (ciprofloxacin-dexamethasone),Tier 3,,Anthem-Blue-Cross
neomycin-polymyxin-hc otic solution,Tier 1,,Anthem-Blue-Cross
neomycin-polymyxin-hc otic suspension,Tier 1,,Anthem-Blue-Cross
hydrocortisone-acetic acid (Acetasol Hc Otic Solution),Tier 2,,Anthem-Blue-Cross
fluocinolone acetonide otic oil,Tier 1,,Anthem-Blue-Cross
hydrocortisone-acetic acid otic solution,Tier 2,,Anthem-Blue-Cross
methylergonovine maleate (Methergine Oral Tablet),Tier 1,,Anthem-Blue-Cross
methylergonovine maleate oral tablet,Tier 1,,Anthem-Blue-Cross
XOFLUZA (40 MG DOSE) ORAL TABLET THERAPY PACK (baloxavir marboxil),Tier 3,QL (1 dose pack per 90 days),Anthem-Blue-Cross
XOFLUZA (80 MG DOSE) ORAL TABLET THERAPY PACK (baloxavir marboxil),Tier 3,QL (1 dose pack per 90 days),Anthem-Blue-Cross
HYQVIA SUBCUTANEOUS KIT (immune globulin-hyaluronidase),Tier 4,PA; SP,Anthem-Blue-Cross
amoxicillin oral capsule,Tier 1,,Anthem-Blue-Cross
amoxicillin oral suspension reconstituted,Tier 1,,Anthem-Blue-Cross
amoxicillin oral tablet,Tier 1,,Anthem-Blue-Cross
amoxicillin oral tablet chewable,Tier 1,,Anthem-Blue-Cross
ampicillin oral capsule,Tier 1,,Anthem-Blue-Cross
penicillin v potassium oral solution reconstituted,Tier 1,,Anthem-Blue-Cross
penicillin v potassium oral tablet,Tier 1,,Anthem-Blue-Cross
amoxicillin-pot clavulanate er oral tablet extended release 12 hour,Tier 1,,Anthem-Blue-Cross
amoxicillin-pot clavulanate oral suspension reconstituted,Tier 1,,Anthem-Blue-Cross
amoxicillin-pot clavulanate oral tablet,Tier 1,,Anthem-Blue-Cross
amoxicillin-pot clavulanate oral tablet chewable,Tier 1,,Anthem-Blue-Cross
dicloxacillin sodium oral capsule,Tier 1,,Anthem-Blue-Cross
SUSPENDRX W/BITTERBLOC SWEET ORAL SUSPENSION (oral vehicles),Tier 2,,Anthem-Blue-Cross
SUSPENDRX W/BITTERBLOC UNSWEET ORAL SUSPENSION (oral vehicles),Tier 2,,Anthem-Blue-Cross
ZYDELIG ORAL TABLET (idelalisib),Tier 4; OC,PA; SP; LD; QL (2 tablets per 1 day),Anthem-Blue-Cross
LYNPARZA ORAL TABLET (olaparib),Tier 4; OC,PA; SP; LD; QL (4 tablets per 1 day),Anthem-Blue-Cross
LYNPARZA ORAL TABLET (olaparib),Tier 4; OC,PA; SP; LD; QL (4 tablets per 1 day),Anthem-Blue-Cross
sodium polystyrene sulfonate (Kionex Oral Suspension),Tier 2,,Anthem-Blue-Cross
sodium polystyrene sulfonate oral powder,Tier 2,,Anthem-Blue-Cross
sodium polystyrene sulfonate oral suspension,Tier 2,,Anthem-Blue-Cross
sodium polystyrene sulfonate rectal suspension,Tier 2,,Anthem-Blue-Cross
sodium polystyrene sulfonate (Sps Oral Suspension),Tier 2,,Anthem-Blue-Cross
medroxyprogesterone acetate oral tablet,Tier 1,QL (1 tablet per 1 day),Anthem-Blue-Cross
norethindrone acetate oral tablet,Tier 1,,Anthem-Blue-Cross
progesterone micronized oral capsule 100 mg,Tier 1,QL (2 capsules per 1 day),Anthem-Blue-Cross
progesterone micronized oral capsule 200 mg,Tier 1,QL (1 capsule per 1 day),Anthem-Blue-Cross
acamprosate calcium oral tablet delayed release,Tier 2,QL (6 tablets per 1 day),Anthem-Blue-Cross
disulfiram oral tablet,Tier 1,,Anthem-Blue-Cross
galantamine hydrobromide er oral capsule extended release 24 hour,Tier 2,,Anthem-Blue-Cross
galantamine hydrobromide oral solution,Tier 2,,Anthem-Blue-Cross
