Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
MICARDIS TABS 80 MG (Use Telmisartan),NF,QL(1 ea daily)
olmesartan medoxomil tabs 40 mg,1,QL(1 ea daily)
"olmesartan medoxomil tabs 5 mg, 20 mg",1,
"telmisartan tabs 20 mg, 40 mg",1,
telmisartan tabs 80 mg,1,QL(1 ea daily)
valsartan tabs 160 mg,1,QL(2 ea daily)
"valsartan tabs 40 mg, 80 mg, 320 mg",1,
CARDURA TABS (Use Doxazosin Mesylate),NF,
CATAPRES TABS (Use Clonidine HCl),NF,
clonidine hcl tabs,1,
doxazosin mesylate tabs,1,
guanfacine hcl tabs,1,
methyldopa tabs,1,
MINIPRESS CAPS (Use Prazosin HCl),NF,
prazosin hcl caps,1,
"terazosin hcl caps 1 mg, 2 mg, 5 mg",1,
terazosin hcl caps 10 mg,1,QL(2 ea daily)
"ACCURETIC TABS 10MG- 12.5MG, 20MG-12.5MG (Use Quinapril- Hydrochlorothiazide)",NF,
ACCURETIC TABS 20MG- 25MG (Use Quinapril- Hydrochlorothiazide),NF,QL(1 ea daily)
amlodipine besylate- benazepril hcl caps 2.5mg- 10mg,1,
"amlodipine besylate- benazepril hcl caps 5mg- 10mg, 5mg-20mg, 5mg- 40mg, 10mg-20mg, 10mg- 40mg",1,QL(1 ea daily)
amlodipine besylate- valsartan tabs 160mg- 10mg,1,QL(1 ea daily)
"amlodipine besylate- valsartan tabs 160mg-5mg, 320mg-5mg, 320mg-10mg",1,
amlodipine-valsartan- hydrochlorothiazide tabs,1,
ATACAND HCT TABS (Use Candesartan Cilexetil- Hydrochlorothiazide),NF,
atenolol & chlorthalidone tabs,1,
AVALIDE TABS (Use Irbesartan- Hydrochlorothiazide),NF,
benazepril & hydrochlorothiazide tabs,1,
BENICAR HCT TABS 20MG-12.5MG (Use Olmesartan Medoxomil- Hydrochlorothiazide),NF,
"BENICAR HCT TABS 40MG-25MG, 40MG- 12.5MG (Use Olmesartan Medoxomil- Hydrochlorothiazide)",NF,QL(1 ea daily)
bisoprolol & hydrochlorothiazide tabs,1,
BYVALSON TABS,3,QL(1 ea daily)
candesartan cilexetil- hydrochlorothiazide tabs,1,
captopril & hydrochlorothiazide tabs,1,
clonidine & chlorthalidone tabs,1,
CLORPRES TABS,3,
CORZIDE TABS 40MG- 5MG,NF,
CORZIDE TABS 80MG- 5MG,3,
DIOVAN HCT TABS 160MG-25MG (Use Valsartan- Hydrochlorothiazide),NF,QL(1 ea daily)
"DIOVAN HCT TABS 320MG-25MG, 80MG- 12.5MG, 160MG-12.5MG, 320MG-12.5MG (Use Valsartan- Hydrochlorothiazide)",NF,
"DUTOPROL TB24 25MG- 12.5MG, 50MG-12.5MG, 100MG-12.5MG",3,
EDARBYCLOR TABS,3,QL(1 ea daily)
enalapril maleate & hydrochlorothiazide tabs,1,
EXFORGE HCT TABS (Use Amlodipine-Valsartan- Hydrochlorothiazide),NF,
EXFORGE TABS 160MG- 10MG (Use Amlodipine Besylate-Valsartan),NF,QL(1 ea daily)
"EXFORGE TABS 160MG- 5MG, 320MG-5MG, 320MG-10MG (Use Amlodipine Besylate- Valsartan)",NF,
fosinopril sodium & hydrochlorothiazide tabs,1,
HYZAAR TABS (Use Losartan Potassium & Hydrochlorothiazide),NF,
irbesartan- hydrochlorothiazide tabs,1,
"lisinopril & hydrochlorothiazide tabs 10mg-12.5mg, 20mg- 12.5mg",1,
lisinopril & hydrochlorothiazide tabs 20mg-25mg,1,QL(2 ea daily)
LOPRESSOR HCT TABS (Use Metoprolol & Hydrochlorothiazide),NF,
losartan potassium & hydrochlorothiazide tabs,1,
LOTENSIN HCT TABS (Use Benazepril & Hydrochlorothiazide),NF,
LOTREL CAPS (Use Amlodipine Besylate- Benazepril HCl),NF,QL(1 ea daily)
methyldopa & hydrochlorothiazide tabs,1,
metoprolol & hydrochlorothiazide tabs,1,
METOPROLOL SUCCINATE ER/HYDROCHLOROTHIA ZIDE TB24,3,
METOPROLOL/HYDROCH LOROTHIAZIDE TABS,3,
MICARDIS HCT TABS (Use Telmisartan- Hydrochlorothiazide),NF,
moexipril- hydrochlorothiazide tabs,1,
NADOLOL/BENDROFLUM ETHIAZIDE TABS,3,
olmesartan medoxomil- amlodipine- hydrochlorothiazide tabs,1,ST
olmesartan medoxomil- hydrochlorothiazide tabs 20mg-12.5mg,1,
"olmesartan medoxomil- hydrochlorothiazide tabs 40mg-25mg, 40mg-12.5mg",1,QL(1 ea daily)
propranolol & hydrochlorothiazide tabs,1,
"quinapril- hydrochlorothiazide tabs 10mg-12.5mg, 20mg- 12.5mg",1,
quinapril- hydrochlorothiazide tabs 20mg-25mg,1,QL(1 ea daily)
TARKA TBCR (Use Trandolapril-Verapamil HCl),NF,
TEKTURNA HCT TABS,3,ST
telmisartan-amlodipine tabs,1,
telmisartan- hydrochlorothiazide tabs,1,
TENORETIC 100 TABS (Use Atenolol & Chlorthalidone),NF,
TENORETIC 50 TABS (Use Atenolol & Chlorthalidone),NF,
trandolapril-verapamil hcl tbcr,1,
TRANDOLAPRIL/VERAPA MIL HCL ER TBCR,3,
TRIBENZOR TABS (Use Olmesartan Medoxomil- Amlodipine- Hydrochlorothiazide),NF,ST
TWYNSTA TABS (Use Telmisartan-Amlodipine),NF,
valsartan- hydrochlorothiazide tabs 160mg-25mg,1,QL(1 ea daily)
"valsartan- hydrochlorothiazide tabs 320mg-25mg, 80mg- 12.5mg, 160mg-12.5mg, 320mg-12.5mg",1,
VASERETIC TABS (Use Enalapril Maleate & Hydrochlorothiazide),NF,
"ZESTORETIC TABS 10MG-12.5MG, 20MG- 12.5MG (Use Lisinopril & Hydrochlorothiazide)",NF,
ZESTORETIC TABS 20MG-25MG (Use Lisinopril & Hydrochlorothiazide),NF,QL(2 ea daily)
ZIAC TABS (Use Bisoprolol & Hydrochlorothiazide),NF,
VECAMYL TABS,3,
aliskiren fumarate tabs,1,ST
"TEKTURNA TABS 150 MG, 300 MG",3,ST
"TEKTURNA TABS 150 MG, 300 MG (Use Aliskiren Fumarate)",NF,ST
eplerenone tabs,1,
INSPRA TABS (Use Eplerenone),NF,
hydralazine hcl tabs,1,
minoxidil tabs,1,
atovaquone-proguanil hcl tabs,1,
COARTEM TABS,2,Limit 24 doses per month;QL(0.8 ea daily)
MALARONE TABS (Use Atovaquone-Proguanil HCl),NF,
CHLOROQUINE PHOSPHATE TABS 250 MG,2,
chloroquine phosphate tabs 500 mg,1,
DARAPRIM TABS,3,PA
hydroxychloroquine sulfate tabs,1,
KRINTAFEL TABS,2,QL(2 ea per 30 days retail)
MEFLOQUINE HCL TABS,2,"QL(6 ea per fill retail,6 ea per fill mail)"
PLAQUENIL TABS (Use Hydroxychloroquine Sulfate),NF,
primaquine phosphate tabs,1,
PRIMAQUINE PHOSPHATE TABS (Use Primaquine Phosphate),NF,
QUALAQUIN CAPS (Use Quinine Sulfate),NF,PA; QL(2 ea daily)
quinine sulfate caps,1,PA; QL(2 ea daily)
FIRDAPSE TABS,SP,PA
GUANIDINE HCL TABS,2,
MESTINON SOLN 60 MG/5ML (Use Pyridostigmine Bromide),SP,PA
MESTINON TABS 60 MG (Use Pyridostigmine Bromide),NF,
MESTINON TIMESPAN TBCR (Use Pyridostigmine Bromide),NF,
pyridostigmine bromide soln 60 mg/5ml,SP,PA
pyridostigmine bromide tabs 60 mg,1,
pyridostigmine bromide tbcr 180 mg,1,
RUZURGI TABS,SP,PA
RIFAMATE CAPS,2,
RIFATER TABS,3,
cycloserine caps,1,
ethambutol hcl tabs,1,
isoniazid syrp,1,
isoniazid tabs,1,
MYAMBUTOL TABS (Use Ethambutol HCl),NF,
MYCOBUTIN CAPS (Use Rifabutin),NF,
PASER PACK,3,
PRIFTIN TABS,3,
pyrazinamide tabs,1,
rifabutin caps,1,
RIFADIN CAPS (Use Rifampin),NF,
rifampin caps,1,
TRECATOR TABS,2,
ALKERAN SOLR IV 50 MG (Use Melphalan HCl),SP,PA; LA
ALKERAN TABS OR 2 MG (Use Melphalan),NF,AC
busulfan soln,SP,PA
BUSULFEX SOLN (Use Busulfan),SP,PA
cyclophosphamide caps 25 mg,1,
CYCLOPHOSPHAMIDE CAPS 25 MG (Use Cyclophosphamide),NF,
cyclophosphamide caps 50 mg,1,AC
CYCLOPHOSPHAMIDE CAPS 50 MG (Use Cyclophosphamide),NF,AC
"GLEOSTINE CAPS 10 MG, 40 MG, 100 MG",2,AC
GLEOSTINE CAPS 5 MG,2,PA; AC
HEXALEN CAPS,2,AC
LEUKERAN TABS,2,AC
melphalan hcl solr,SP,PA; LA
melphalan tabs,1,AC
MYLERAN TABS,2,AC
TEMODAR CAPS (Use Temozolomide),NF,AC
temozolomide caps,1,AC
capecitabine tabs,1,AC
fludarabine phosphate solr,SP,PA
mercaptopurine tabs,1,AC
"methotrexate sodium soln ij 1 gm/40ml, 50 mg/2ml, 250 mg/10ml",SP,PA; LA
METHOTREXATE SODIUM SOLN IJ 250 MG/10ML,SP,PA; LA
methotrexate sodium solr ij 1 gm,SP,PA; LA
methotrexate sodium tabs or 2.5 mg,1,AC
PURIXAN SUSP,3,AL(Up to 13 yrs old ); AC
TABLOID TABS,2,AC
TREXALL TABS,3,AC
XATMEP SOLN,SP,PA; AC
XELODA TABS (Use Capecitabine),NF,AC
VENCLEXTA STARTING PACK TBPK,SP,PA; AC
VENCLEXTA TABS 10 MG,SP,PA; QL(2 ea daily); AC
VENCLEXTA TABS 100 MG,SP,PA; QL(4 ea daily); AC
VENCLEXTA TABS 50 MG,SP,PA; AC
DAURISMO TABS,SP,PA
ERIVEDGE CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
ODOMZO CAPS,SP,AC
abiraterone acetate tabs,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
anastrozole tabs or,1,QL(1 ea daily); AC
ARIMIDEX TABS (Use Anastrozole),NF,QL(1 ea daily); AC
AROMASIN TABS (Use Exemestane),NF,AC
bicalutamide tabs,1,QL(1 ea daily); AC
CASODEX TABS (Use Bicalutamide),NF,QL(1 ea daily); AC
ELIGARD KIT,3,PA
EMCYT CAPS,2,AC
ERLEADA TABS,SP,PA; AC
exemestane tabs,1,AC
FARESTON TABS (Use Toremifene Citrate),NF,AC
FEMARA TABS (Use Letrozole),NF,AC
flutamide caps,1,AC
letrozole tabs,1,AC
leuprolide acetate kit,1,PA
LYSODREN TABS,2,AC
megestrol acetate susp,1,AC
megestrol acetate tabs,1,AC
NILANDRON TABS (Use Nilutamide),NF,AC
nilutamide tabs,1,AC
SOLTAMOX SOLN,PV,PV; AC
tamoxifen citrate tabs,PV,PV; AC
toremifene citrate tabs,1,AC
XTANDI CAPS,SP,PA; New commercial members to be referred to AcariaHealth;A C
YONSA TABS,SP,PA; AC
ZYTIGA TABS 250 MG (Use Abiraterone Acetate),SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
ZYTIGA TABS 500 MG,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
POMALYST CAPS,SP,PA; AC
mitoxantrone hcl conc,2,PA; SP
KISQALI FEMARA 200 DOSE TBPK,SP,PA; AC
KISQALI FEMARA 400 DOSE TBPK,SP,PA; AC
KISQALI FEMARA 600 DOSE TBPK,SP,PA; AC
LONSURF TABS,SP,PA; AC
AFINITOR DISPERZ TBSO,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
AFINITOR TABS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
ALECENSA CAPS,SP,PA; AC
ALUNBRIG TABS,SP,PA; AC
ALUNBRIG TBPK,SP,PA; AC
BALVERSA TABS,SP,PA
"BOSULIF TABS 100 MG, 500 MG",SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
BOSULIF TABS 400 MG,SP,PA; AC
BRAFTOVI CAPS,SP,PA; SP
CABOMETYX TABS,SP,PA; AC
CALQUENCE CAPS,SP,PA; AC
CAPRELSA TABS,SP,PA; AC
COMETRIQ KIT,SP,PA; AC
COPIKTRA CAPS,SP,PA; AC
COTELLIC TABS,SP,PA; AC
erlotinib hcl tabs,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
FARYDAK CAPS,SP,PA; Must use Caremark SP pharmacy;LA; AC
GILOTRIF TABS,SP,PA; Must use Accredo SP pharmacy;LA; AC
GLEEVEC TABS (Use Imatinib Mesylate),NF,PA; AC
IBRANCE CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
ICLUSIG TABS,SP,PA; AC
IDHIFA TABS,SP,PA; AC
imatinib mesylate tabs,1,PA; AC
"IMBRUVICA CAPS 70 MG, 140 MG",SP,PA; AC
"IMBRUVICA TABS 140 MG, 280 MG, 420 MG, 560 MG",SP,PA; QL(1 ea daily); AC
INLYTA TABS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
INREBIC CAPS,SP,PA; AC
IRESSA TABS,SP,AC
ISTODAX (OVERFILL) SOLR,SP,PA
JAKAFI TABS,SP,PA; AC
KISQALI TBPK,SP,PA; AC
LENVIMA 10 MG DAILY DOSE CPPK,SP,PA; AC
LENVIMA 14 MG DAILY DOSE CPPK,SP,PA; AC
LENVIMA 18 MG DAILY DOSE CPPK,SP,PA; AC
LENVIMA 20 MG DAILY DOSE CPPK,SP,PA; AC
LENVIMA 24 MG DAILY DOSE CPPK,SP,PA; AC
LENVIMA 8 MG DAILY DOSE CPPK,SP,PA; AC
LORBRENA TABS,SP,PA
LYNPARZA CAPS 50 MG,SP,PA; AC
"LYNPARZA TABS 100 MG, 150 MG",SP,PA; Refer to Accredo SP Rx;AC
MEKINIST TABS,SP,PA; AC
MEKTOVI TABS,SP,PA; SP
NERLYNX TABS,SP,PA; SP; AC
NEXAVAR TABS,SP,PA; LA; AC
NINLARO CAPS,SP,PA; Limited to 3 capsules per month;;QL(0.1 ea daily); AC
PIQRAY 200MG DAILY DOSE TBPK,SP,PA
PIQRAY 250MG DAILY DOSE TBPK,SP,PA
PIQRAY 300MG DAILY DOSE TBPK,SP,PA
ROMIDEPSIN SOLR,SP,PA
ROZLYTREK CAPS,SP,PA; AC
RUBRACA TABS,SP,PA; AC
RYDAPT CAPS,SP,PA; AC
SPRYCEL TABS,SP,PA; AC
STIVARGA TABS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
SUTENT CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
TAFINLAR CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
TAGRISSO TABS,SP,PA; AC
TALZENNA CAPS,SP,PA
TARCEVA TABS (Use Erlotinib HCl),SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
"TASIGNA CAPS 150 MG, 200 MG",SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
TASIGNA CAPS 50 MG,SP,PA; AC
temsirolimus soln,SP,PA
TIBSOVO TABS,SP,PA
TORISEL SOLN (Use Temsirolimus),SP,PA
TURALIO CAPS,SP,PA; AC
TYKERB TABS,SP,PA; AC
VELCADE SOLR,SP,PA
VERZENIO TABS,SP,PA
VITRAKVI CAPS,SP,PA
VITRAKVI SOLN,SP,PA
VIZIMPRO TABS,SP,PA
VOTRIENT TABS,SP,PA; AC
XALKORI CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC
XOSPATA TABS,SP,PA
ZEJULA CAPS,SP,PA; AC
ZELBORAF TABS,SP,PA; AC
ZOLINZA CAPS,SP,PA; AC
ZYDELIG TABS,3,PA; AC
ZYKADIA CAPS,SP,AC
ZYKADIA TABS,SP,AC
ACTIMMUNE SOLN,SP,PA; LA
ALFERON N SOLN,SP,PA; LA
bexarotene caps,SP,PA; AC
HYDREA CAPS (Use Hydroxyurea),NF,AC
hydroxyurea caps or,1,AC
INTRON A SOLN,SP,PA; LA
INTRON A SOLR,SP,PA; LA
INTRON A W/DILUENT SOLR,SP,PA; LA
MATULANE CAPS,SP,PA; AC
SYLATRON KIT,SP,PA; Must use AcariaHlth Sp Rx 1-844-538- 4661;SP
TARGRETIN CAPS OR 75 MG (Use Bexarotene),SP,PA; AC
tretinoin (chemotherapy) caps,2,AC
"leucovorin calcium solr ij 50 mg, 100 mg, 200 mg, 350 mg",SP,PA
"leucovorin calcium tabs or 5 mg, 10 mg, 15 mg, 25 mg",1,AC
MESNEX TABS,3,AC
ETOPOPHOS SOLR,3,PA
ETOPOSIDE CAPS OR 50 MG,2,AC
"etoposide soln iv 1 gm/50ml, 500 mg/25ml",2,PA; SP
etoposide soln iv 100 mg/5ml,2,PA; AC
"HYCAMTIN CAPS OR 0.25 MG, 1 MG",SP,PA; AC
HYCAMTIN SOLR IV 4 MG (Use Topotecan HCl),SP,PA; LA
topotecan hcl solr,SP,PA; LA
carbidopa tabs,2,
LODOSYN TABS (Use Carbidopa),NF,
benztropine mesylate soln ij 1 mg/ml,SP,PA
"benztropine mesylate tabs or 0.5 mg, 1 mg, 2 mg",1,
COGENTIN SOLN (Use Benztropine Mesylate),SP,PA
trihexyphenidyl hcl soln,1,
trihexyphenidyl hcl tabs,1,
COMTAN TABS (Use Entacapone),NF,
entacapone tabs,1,
TASMAR TABS (Use Tolcapone),NF,
tolcapone tabs,1,
amantadine hcl caps,1,
amantadine hcl syrp,1,
amantadine hcl tabs,1,
bromocriptine mesylate caps,1,
bromocriptine mesylate tabs,1,
"carbidopa-levodopa tabs 10mg-100mg, 25mg- 100mg, 25mg-250mg",1,
carbidopa-levodopa tbcr 25mg-100mg,1,QL(8 ea daily)
carbidopa-levodopa tbcr 50mg-200mg,1,
"carbidopa-levodopa tbdp 10mg-100mg, 25mg- 100mg, 25mg-250mg",1,
"carbidopa-levodopa- entacapone tabs 200mg- 25mg-100mg, 200mg- 50mg-200mg, 200mg- 12.5mg-50mg, 200mg- 18.75mg-75mg, 200mg- 37.5mg-150mg",1,
carbidopa-levodopa- entacapone tabs 200mg- 31.25mg-125mg,2,
CARBIDOPA/LEVODOPA/ ENTACAPONE TABS,2,
"MIRAPEX ER TB24 0.375 MG, 0.75 MG, 1.5 MG, 4.5 MG, 2.25 MG, 3.75 MG (Use Pramipexole Dihydrochloride)",NF,
MIRAPEX ER TB24 3 MG (Use Pramipexole Dihydrochloride),NF,QL(1 ea daily)
"MIRAPEX TABS 0.125 MG, 0.25 MG, 0.75 MG, 0.5 MG (Use Pramipexole Dihydrochloride)",NF,
MIRAPEX TABS 1 MG (Use Pramipexole Dihydrochloride),NF,QL(4 ea daily)
MIRAPEX TABS 1.5 MG (Use Pramipexole Dihydrochloride),NF,QL(3 ea daily)
NEUPRO PT24,3,
PARLODEL CAPS (Use Bromocriptine Mesylate),NF,
PARLODEL TABS (Use Bromocriptine Mesylate),NF,
"pramipexole dihydrochloride tabs 0.125 mg, 0.25 mg, 0.75 mg, 0.5 mg",1,
pramipexole dihydrochloride tabs 1 mg,1,QL(4 ea daily)
pramipexole dihydrochloride tabs 1.5 mg,1,QL(3 ea daily)
"pramipexole dihydrochloride tb24 0.375 mg, 0.75 mg, 1.5 mg, 4.5 mg, 2.25 mg",2,
pramipexole dihydrochloride tb24 3 mg,2,QL(1 ea daily)
pramipexole dihydrochloride tb24 3.75 mg,1,
REQUIP TABS (Use Ropinirole Hydrochloride),NF,
REQUIP XL TB24 12 MG (Use Ropinirole Hydrochloride),NF,QL(2 ea daily)
"REQUIP XL TB24 2 MG, 4 MG, 6 MG, 8 MG (Use Ropinirole Hydrochloride)",NF,
"ropinirole hydrochloride tabs 0.25 mg, 0.5 mg, 1 mg, 2 mg, 3 mg, 4 mg, 5 mg",1,
ropinirole hydrochloride tb24 12 mg,2,QL(2 ea daily)
"ropinirole hydrochloride tb24 2 mg, 4 mg, 6 mg",2,
ropinirole hydrochloride tb24 8 mg,1,
RYTARY CPCR,3,PA; QL(10 ea daily)
SINEMET CR TBCR 25MG-100MG (Use Carbidopa-Levodopa),NF,QL(8 ea daily)
SINEMET CR TBCR 50MG-200MG (Use Carbidopa-Levodopa),NF,
SINEMET TABS (Use Carbidopa-Levodopa),NF,
STALEVO 100 TABS (Use Carbidopa-Levodopa- Entacapone),NF,
STALEVO 125 TABS (Use Carbidopa-Levodopa- Entacapone),NF,
STALEVO 150 TABS (Use Carbidopa-Levodopa- Entacapone),NF,
STALEVO 200 TABS (Use Carbidopa-Levodopa- Entacapone),NF,
STALEVO 50 TABS (Use Carbidopa-Levodopa- Entacapone),NF,
STALEVO 75 TABS (Use Carbidopa-Levodopa- Entacapone),NF,
AZILECT TABS (Use Rasagiline Mesylate),NF,
ELDEPRYL CAPS (Use Selegiline HCl),NF,QL(2 ea daily)
rasagiline mesylate tabs,1,
selegiline hcl caps,1,QL(2 ea daily)
selegiline hcl tabs,1,QL(2 ea daily)
SELEGILINE HCL TABS,2,QL(2 ea daily)
XADAGO TABS,3,PA
ZELAPAR TBDP,3,
"lithium carbonate caps 150 mg, 600 mg",1,
lithium carbonate caps 300 mg,1,QL(6 ea daily)
lithium carbonate tabs 300 mg,1,
"lithium carbonate tbcr 300 mg, 450 mg",1,
LITHIUM SOLN,3,
LITHOBID TBCR (Use Lithium Carbonate),3,
EQUETRO CP12,3,
"GEODON CAPS 20 MG, 40 MG (Use Ziprasidone HCl)",NF,
"GEODON CAPS 60 MG, 80 MG (Use Ziprasidone HCl)",NF,QL(2 ea daily)
LATUDA TABS,3,PA
NUPLAZID CAPS 34 MG,SP,PA; QL(1 ea daily)
NUPLAZID TABS 10 MG,SP,PA; QL(1 ea daily)
NUPLAZID TABS 17 MG,SP,PA
VRAYLAR CAPS,SP,PA; QL(1 ea daily)
VRAYLAR CPPK,SP,PA; QL(1 ea daily)
"ziprasidone hcl caps 20 mg, 40 mg",1,
"ziprasidone hcl caps 60 mg, 80 mg",1,QL(2 ea daily)
FANAPT TABS,SP,PA; QL(2 ea daily)
FANAPT TITRATION PACK TABS,SP,PA
INVEGA TB24 (Use Paliperidone),NF,
paliperidone tb24,1,
PERSERIS PRSY,SP,PA
RISPERDAL M-TAB TBDP (Use Risperidone),NF,
RISPERDAL SOLN 1 MG/ML (Use Risperidone),NF,
"RISPERDAL TABS 0.25 MG, 0.5 MG, 1 MG, 2 MG, 4 MG (Use Risperidone)",NF,
RISPERDAL TABS 3 MG (Use Risperidone),NF,QL(2 ea daily)
RISPERIDONE ODT TBDP,3,
risperidone soln 1 mg/ml,1,
"risperidone tabs 0.25 mg, 0.5 mg, 1 mg, 2 mg, 4 mg",1,
risperidone tabs 3 mg,1,QL(2 ea daily)
"risperidone tbdp 0.5 mg, 1 mg, 2 mg, 3 mg, 4 mg",1,
haloperidol lactate conc,1,
haloperidol tabs,1,
CLOZAPINE ODT TBDP,3,
"clozapine tabs 25 mg, 50 mg, 100 mg, 200 mg",1,
"CLOZAPINE TABS 50 MG, 200 MG (Use Clozapine)",NF,
clozapine tbdp 12.5 mg,1,
CLOZARIL TABS (Use Clozapine),NF,
FAZACLO TBDP 12.5 MG (Use Clozapine),NF,
"FAZACLO TBDP 150 MG, 200 MG",3,
loxapine succinate caps,1,
"olanzapine tabs 15 mg, 20 mg",1,QL(1 ea daily)
"olanzapine tabs 5 mg, 10 mg, 2.5 mg, 7.5 mg",1,
"olanzapine tbdp 5 mg, 10 mg, 15 mg, 20 mg",2,
quetiapine fumarate tabs 200 mg,1,QL(4 ea daily)
"quetiapine fumarate tabs 25 mg, 50 mg, 100 mg",1,
"quetiapine fumarate tabs 300 mg, 400 mg",1,QL(2 ea daily)
"quetiapine fumarate tb24 50 mg, 150 mg, 200 mg, 300 mg, 400 mg",1,PA
SAPHRIS SUBL,3,PA
SEROQUEL TABS 200 MG (Use Quetiapine Fumarate),NF,QL(4 ea daily)
"SEROQUEL TABS 25 MG, 50 MG, 100 MG (Use Quetiapine Fumarate)",NF,
"SEROQUEL TABS 300 MG, 400 MG (Use Quetiapine Fumarate)",NF,QL(2 ea daily)
SEROQUEL XR TB24 (Use Quetiapine Fumarate),NF,PA
VERSACLOZ SUSP,3,QL(18 ml daily)
"ZYPREXA TABS 15 MG, 20 MG (Use Olanzapine)",NF,QL(1 ea daily)
"ZYPREXA TABS 5 MG, 10 MG, 2.5 MG, 7.5 MG (Use Olanzapine)",NF,
ZYPREXA ZYDIS TBDP (Use Olanzapine),NF,
MOLINDONE HYDROCHLORIDE TABS,3,
chlorpromazine hcl tabs,2,
fluphenazine hcl conc 5 mg/ml,1,
fluphenazine hcl elix 2.5 mg/5ml,1,
"fluphenazine hcl tabs 1 mg, 5 mg, 10 mg, 2.5 mg",1,
"FLUPHENAZINE HCL TABS 1 MG, 5 MG, 10 MG, 2.5 MG",2,
perphenazine tabs,1,
prochlorperazine maleate tabs,1,
prochlorperazine supp,1,QL(2 ea daily)
"thioridazine hcl tabs 10 mg, 25 mg, 100 mg",1,
thioridazine hcl tabs 50 mg,1,QL(4 ea daily)
trifluoperazine hcl tabs,1,
ABILIFY TABS 15 MG (Use Aripiprazole),NF,QL(2 ea daily)
"ABILIFY TABS 2 MG, 5 MG, 10 MG, 30 MG (Use Aripiprazole)",NF,
ABILIFY TABS 20 MG (Use Aripiprazole),NF,QL(1 ea daily)
aripiprazole soln 1 mg/ml,1,
aripiprazole tabs 15 mg,1,QL(2 ea daily)
"aripiprazole tabs 2 mg, 5 mg, 10 mg, 30 mg",1,
aripiprazole tabs 20 mg,1,QL(1 ea daily)
"aripiprazole tbdp 10 mg, 15 mg",1,PA
REXULTI TABS,3,PA; ST
thiothixene caps,1,
FORMALDEHYDE SOLN 10 %,3,
"formaldehyde soln 10%, 10 %",1,
abacavir sulfate soln,1,
abacavir sulfate tabs,1,
abacavir sulfate-lamivudine tabs,1,
abacavir sulfate- lamivudine-zidovudine tabs,1,
APTIVUS CAPS,2,
APTIVUS SOLN,2,
atazanavir sulfate caps,1,
ATRIPLA TABS,2,QL(1 ea daily)
BIKTARVY TABS,2,
CIMDUO TABS,2,
COMBIVIR TABS (Use Lamivudine-Zidovudine),NF,
COMPLERA TABS,2,
CRIXIVAN CAPS,2,
DELSTRIGO TABS,2,
DESCOVY TABS,2,
"didanosine cpdr 200 mg, 250 mg, 400 mg",1,
DIDANOSINE CPDR 400 MG,2,
DOVATO TABS,2,
EDURANT TABS,2,
efavirenz caps,1,
efavirenz tabs,1,
EMTRIVA CAPS,2,
EMTRIVA SOLN,2,
EPIVIR SOLN (Use Lamivudine),NF,
EPIVIR TABS (Use Lamivudine),NF,
EPZICOM TABS (Use Abacavir Sulfate- Lamivudine),NF,
EVOTAZ TABS,2,
fosamprenavir calcium tabs,1,
FUZEON SOLR,SP,PA; LA
GENVOYA TABS,2,
INTELENCE TABS,2,
INVIRASE CAPS,2,
INVIRASE TABS,2,
ISENTRESS CHEW,2,
ISENTRESS HD TABS,2,
ISENTRESS PACK,2,
ISENTRESS TABS,2,
JULUCA TABS,2,
KALETRA SOLN 400MG/5ML-100MG/5ML (Use Lopinavir-Ritonavir),NF,
"KALETRA TABS 100MG- 25MG, 200MG-50MG",2,
lamivudine soln,1,
lamivudine tabs,1,
lamivudine-zidovudine tabs,1,
LEXIVA SUSP 50 MG/ML,2,
LEXIVA TABS 700 MG (Use Fosamprenavir Calcium),NF,
lopinavir-ritonavir soln,1,
NEVIRAPINE ER TB24,3,
nevirapine susp,1,
nevirapine tabs,1,
nevirapine tb24,1,
NORVIR CAPS 100 MG,2,
NORVIR PACK 100 MG,2,
NORVIR SOLN 80 MG/ML,2,
NORVIR TABS 100 MG (Use Ritonavir),NF,
ODEFSEY TABS,2,
