Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
MICROGESTIN FE 1/20 (28) ORAL TABLET 1 MG-20 MCG (21)/75 MG (7),$0,
MILI ORAL TABLET 0.25-35 MG-MCG,$0,
MONO-LINYAH ORAL TABLET 0.25-35 MG- MCG,$0,
MY CHOICE ORAL TABLET 1.5 MG,$0,
MY WAY ORAL TABLET 1.5 MG,$0,
NECON 0.5/35 (28) ORAL TABLET 0.5-35 MG-MCG,$0,
NEW DAY ORAL TABLET 1.5 MG,$0,
NIKKI (28) ORAL TABLET 3-0.02 MG,$0,
NORA-BE ORAL TABLET 0.35 MG,$0,
"noreth-ethinyl estradiol-iron oral(Wymzya Fe) tablet,chewable 0.4mg-35mcg(21) and 75 mg (7)",$0,
"noreth-ethinyl estradiol-iron oral(Generess Fe) tablet,chewable 0.8mg-25mcg(24) and 75 mg (4)",$0,
norethindrone (contraceptive) oral tablet 0.35(Camila) mg,$0,
norethindrone ac-eth estradiol oral tablet 1.5-(Aurovela 1.5/30 (21)) 30 mg-mcg,$0,
norethindrone ac-eth estradiol oral tablet 1-20(Aurovela 1/20 (21)) mg-mcg,$0,
norethindrone-e.estradiol-iron oral tablet 1 mg-(Aurovela Fe 1-20 (28)) 20 mcg (21)/75 mg (7),$0,
norethindrone-e.estradiol-iron oral tablet 1 mg-(Aurovela 24 Fe) 20 mcg (24)/75 mg (4),$0,
norgestimate-ethinyl estradiol oral tablet(Tri-Lo-Estarylla) 0.18/0.215/0.25 mg-25 mcg,$0,
norgestimate-ethinyl estradiol oral tablet(Ortho Tri-Cyclen (28)) 0.18/0.215/0.25 mg-35 mcg (28),$0,
norgestimate-ethinyl estradiol oral tablet 0.25-(Estarylla) 35 mg-mcg,$0,
NORLYDA ORAL TABLET 0.35 MG,$0,
NORLYROC ORAL TABLET 0.35 MG,$0,
NORTREL 0.5/35 (28) ORAL TABLET 0.5-35 MG-MCG,$0,
NORTREL 1/35 (21) ORAL TABLET 1-35 MG- MCG (21),$0,
NORTREL 1/35 (28) ORAL TABLET 1-35 MG- MCG,$0,
NORTREL 7/7/7 (28) ORAL TABLET 0.5/0.75/1 MG- 35 MCG,$0,
OCELLA ORAL TABLET 3-0.03 MG,$0,
OPCICON ONE-STEP ORAL TABLET 1.5 MG,$0,
OPTION-2 ORAL TABLET 1.5 MG,$0,
ORSYTHIA ORAL TABLET 0.1-20 MG-MCG,$0,
PHILITH ORAL TABLET 0.4-35 MG-MCG,$0,
PIMTREA (28) ORAL TABLET 0.15-0.02 MGX21 /0.01 MG X 5,$0,
"PIRMELLA ORAL TABLET 0.5/0.75/1 MG- 35 MCG, 1-35 MG-MCG",$0,
PORTIA 28 ORAL TABLET 0.15-0.03 MG,$0,
PREVIFEM ORAL TABLET 0.25-35 MG-MCG,$0,
RECLIPSEN (28) ORAL TABLET 0.15-0.03 MG,$0,
"SETLAKIN ORAL TABLETS,DOSE PACK,3 MONTH 0.15 MG-30 MCG (91)",$0,
SHAROBEL ORAL TABLET 0.35 MG,$0,
SIMLIYA (28) ORAL TABLET 0.15-0.02 MGX21 /0.01 MG X 5,$0,
"SIMPESSE ORAL TABLETS,DOSE PACK,3 MONTH 0.15 MG-30 MCG (84)/10 MCG (7)",$0,
SPRINTEC (28) ORAL TABLET 0.25-35 MG- MCG,$0,
SRONYX ORAL TABLET 0.1-20 MG-MCG,$0,
SYEDA ORAL TABLET 3-0.03 MG,$0,
TAKE ACTION ORAL TABLET 1.5 MG,$0,
TARINA 24 FE ORAL TABLET 1 MG-20 MCG (24)/75 MG (4),$0,
TARINA FE 1/20 (28) ORAL TABLET 1 MG- 20 MCG (21)/75 MG (7),$0,
TARINA FE 1-20 EQ (28) ORAL TABLET 1 MG-20 MCG (21)/75 MG (7),$0,
TILIA FE ORAL TABLET 1-20(5)/1-30(7) /1MG-35MCG (9),$0,
TRI FEMYNOR ORAL TABLET 0.18/0.215/0.25 MG-35 MCG (28),$0,
TRI-ESTARYLLA ORAL TABLET 0.18/0.215/0.25 MG-35 MCG (28),$0,
TRI-LEGEST FE ORAL TABLET 1-20(5)/1- 30(7) /1MG-35MCG (9),$0,
TRI-LINYAH ORAL TABLET 0.18/0.215/0.25 MG-35 MCG (28),$0,
TRI-LO-ESTARYLLA ORAL TABLET 0.18/0.215/0.25 MG-25 MCG,$0,
TRI-LO-MARZIA ORAL TABLET 0.18/0.215/0.25 MG-25 MCG,$0,
TRI-LO-MILI ORAL TABLET 0.18/0.215/0.25 MG-25 MCG,$0,
TRI-LO-SPRINTEC ORAL TABLET 0.18/0.215/0.25 MG-25 MCG,$0,
TRI-MILI ORAL TABLET 0.18/0.215/0.25 MG- 35 MCG (28),$0,
TRI-PREVIFEM (28) ORAL TABLET 0.18/0.215/0.25 MG-35 MCG (28),$0,
TRI-SPRINTEC (28) ORAL TABLET 0.18/0.215/0.25 MG-35 MCG (28),$0,
TRIVORA (28) ORAL TABLET 50-30 (6)/75- 40 (5)/125-30(10),$0,
TRI-VYLIBRA LO ORAL TABLET 0.18/0.215/0.25 MG-25 MCG,$0,
TRI-VYLIBRA ORAL TABLET 0.18/0.215/0.25 MG-35 MCG (28),$0,
TULANA ORAL TABLET 0.35 MG,$0,
VELIVET TRIPHASIC REGIMEN (28) ORAL TABLET 0.1/.125/.15-25 MG-MCG,$0,
VIENVA ORAL TABLET 0.1-20 MG-MCG,$0,
VIORELE (28) ORAL TABLET 0.15-0.02 MGX21 /0.01 MG X 5,$0,
VYFEMLA (28) ORAL TABLET 0.4-35 MG- MCG,$0,
VYLIBRA ORAL TABLET 0.25-35 MG-MCG,$0,
WERA (28) ORAL TABLET 0.5-35 MG-MCG,$0,
"WYMZYA FE ORAL TABLET,CHEWABLE 0.4MG-35MCG(21) AND 75 MG (7)",$0,
ZARAH ORAL TABLET 3-0.03 MG,$0,
ZOVIA 1/35E (28) ORAL TABLET 1-35 MG- MCG,$0,
ZUMANDIMINE (28) ORAL TABLET 3-0.03 MG,$0,
XULANE TRANSDERMAL PATCH WEEKLY 150-35 MCG/24 HR,$0,
CAYA CONTOURED VAGINAL DIAPHRAGM 65-80 MM,$0,
"FEMCAP VAGINAL DEVICE 22 MM, 26 MM, 30 MM",$0,
WIDE-SEAL DIAPHRAGM 60 VAGINAL DIAPHRAGM 60 MM,$0,
WIDE-SEAL DIAPHRAGM 65 VAGINAL DIAPHRAGM 65 MM,$0,
WIDE-SEAL DIAPHRAGM 70 VAGINAL DIAPHRAGM 70 MM,$0,
WIDE-SEAL DIAPHRAGM 75 VAGINAL DIAPHRAGM 75 MM,$0,
WIDE-SEAL DIAPHRAGM 80 VAGINAL DIAPHRAGM 80 MM,$0,
WIDE-SEAL DIAPHRAGM 85 VAGINAL DIAPHRAGM 85 MM,$0,
WIDE-SEAL DIAPHRAGM 90 VAGINAL DIAPHRAGM 90 MM,$0,
WIDE-SEAL DIAPHRAGM 95 VAGINAL DIAPHRAGM 95 MM,$0,
methylergonovine oral tablet 0.2 mg(Methergine),Tier 1,QL (28 EA per 1 FILL)
promethazine-phenylephrine oral syrup 6.25-5(Promethazine VC) mg/5 ml,Tier 1,
benzonatate oral capsule 100 mg(Tessalon Perles),Tier 1,
benzonatate oral capsule 150 mg,Tier 3,
benzonatate oral capsule 200 mg,Tier 1,
SSKI ORAL SOLUTION 1 GRAM/ML,Tier 2,
promethazine-phenyleph-codeine oral syrup 6.25-5-10 mg/5 ml,Tier 1,AGE (Min 18 Years)
RYDEX ORAL LIQUID 1.3-10-6.3 MG/5 ML,Tier 1,
"hydrocodone-chlorpheniramine oral suspension,extended rel 12 hr 10-8 mg/5 ml",Tier 1,QL (120 ML per 1 FILL)
promethazine-codeine oral syrup 6.25-10 mg/5 ml,Tier 1,AGE (Min 18 Years)
hydrocodone-homatropine oral syrup 5-1.5(Hydrocodone Compound) mg/5 ml,Tier 1,
hydrocodone-homatropine oral tablet 5-1.5 mg,Tier 1,
HYDROMET ORAL SYRUP 5-1.5 MG/5 ML,Tier 1,
codeine-guaifenesin oral liquid 10-100 mg/5(G Tussin AC) ml,Tier 1,QL (240 ML per 1 FILL)
G TUSSIN AC ORAL LIQUID 10-100 MG/5 ML,Tier 1,QL (240 ML per 1 FILL)
GUAIATUSSIN AC ORAL LIQUID 10-100 MG/5 ML,Tier 1,QL (240 ML per 1 FILL)
GUAIFENESIN AC ORAL LIQUID 10-100 MG/5 ML,Tier 1,QL (240 ML per 1 FILL)
M-CLEAR WC ORAL LIQUID 6.3-100 MG/5 ML,Tier 1,QL (240 ML per 1 FILL)
ROBAFEN AC ORAL LIQUID 10-100 MG/5 ML,Tier 1,QL (240 ML per 1 FILL)
VIRTUSSIN AC ORAL LIQUID 10-100 MG/5 ML,Tier 1,QL (240 ML per 1 FILL)
promethazine-dm oral syrup 6.25-15 mg/5 ml,Tier 1,
TYZINE NASAL DROPS 0.1 %,Tier 3,
"TYZINE NASAL SPRAY,NON-AEROSOL 0.1 %",Tier 3,
"AMNESTEEM ORAL CAPSULE 10 MG, 20 MG, 40 MG",Tier 1,
"CLARAVIS ORAL CAPSULE 10 MG, 20 MG, 30 MG, 40 MG",Tier 1,
"isotretinoin oral capsule 10 mg, 20 mg, 30 mg,(Absorica) 40 mg",Tier 1,
"MYORISAN ORAL CAPSULE 10 MG, 20 MG, 30 MG, 40 MG",Tier 1,
"ZENATANE ORAL CAPSULE 10 MG, 20 MG, 30 MG, 40 MG",Tier 1,
clindamycin-benzoyl peroxide topical gel 1.2(Duac) %(1 % base) -5 %,Tier 1,
clindamycin-benzoyl peroxide topical gel 1-5(Benzaclin) %,Tier 1,
clindamycin-benzoyl peroxide topical gel with(Benzaclin Pump) pump 1-5 %,Tier 1,
clindamycin-tretinoin topical gel 1.2-0.025 %(Veltin),Tier 1,
NEUAC TOPICAL GEL 1.2 %(1 % BASE) -5 %,Tier 1,
sulfacetamide sodium (acne) topical(Klaron) suspension 10 %,Tier 1,
azelaic acid topical gel 15 %(Finacea),Tier 1,AGE (Max 34 Years)
FINACEA TOPICAL FOAM 15 %,Tier 2,
metronidazole topical cream 0.75 %(MetroCream),Tier 1,
metronidazole topical gel 0.75 %(Rosadan),Tier 1,
metronidazole topical gel 1 %(Metrogel),Tier 1,
metronidazole topical gel with pump 1 %(Metrogel),Tier 1,
metronidazole topical lotion 0.75 %(MetroLotion),Tier 1,
ROSADAN TOPICAL CREAM 0.75 %,Tier 1,
adapalene topical cream 0.1 %(Differin),Tier 1,AGE (Max 34 Years)
"adapalene topical gel 0.1 %, 0.3 %(Differin)",Tier 1,AGE (Max 34 Years)
adapalene topical gel with pump 0.3 %(Differin),Tier 1,AGE (Max 34 Years)
adapalene topical lotion 0.1 %(Differin),Tier 2,AGE (Max 34 Years)
AVITA TOPICAL CREAM 0.025 %,Tier 1,AGE (Max 34 Years)
AVITA TOPICAL GEL 0.025 %,Tier 1,AGE (Max 34 Years)
"tretinoin microspheres topical gel 0.04 %, 0.1(Retin-A Micro) %",Tier 1,AGE (Max 34 Years)
"tretinoin microspheres topical gel with pump(Retin-A Micro Pump) 0.04 %, 0.1 %",Tier 1,AGE (Max 34 Years)
tretinoin topical cream 0.025 %(Avita),Tier 1,AGE (Max 34 Years)
"tretinoin topical cream 0.05 %, 0.1 %(Retin-A)",Tier 1,AGE (Max 34 Years)
tretinoin topical gel 0.01 %(Retin-A),Tier 1,AGE (Max 34 Years)
tretinoin topical gel 0.025 %(Avita),Tier 1,AGE (Max 34 Years)
tretinoin topical gel 0.05 %(Atralin),Tier 1,AGE (Max 34 Years)
"bacitracin-polymyxin b topical ointment 500-(Double Antibiotic) 10,000 unit/gram",Tier 1,
clindamycin phosphate topical foam 1 %(Evoclin),Tier 1,
clindamycin phosphate topical gel 1 %(Cleocin T),Tier 1,
clindamycin phosphate topical lotion 1 %(Cleocin T),Tier 1,
clindamycin phosphate topical solution 1 %(Cleocin T),Tier 1,
clindamycin phosphate topical swab 1 %(Clindacin ETZ),Tier 1,
"DOUBLE ANTIBIOTIC TOPICAL OINTMENT 500-10,000 UNIT/GRAM",Tier 1,
ERY PADS TOPICAL SWAB 2 %,Tier 1,
erythromycin with ethanol topical gel 2 %(Erygel),Tier 1,
erythromycin with ethanol topical solution 2 %,Tier 1,
erythromycin with ethanol topical swab 2 %(Ery Pads),Tier 1,
erythromycin-benzoyl peroxide topical gel 3-5(Aktipak) %,Tier 1,
gentamicin topical cream 0.1 %,Tier 1,
gentamicin topical ointment 0.1 %,Tier 1,
mupirocin calcium topical cream 2 %,Tier 1,
mupirocin topical ointment 2 %(Centany),Tier 1,
"TRIPLE ANTIBIOTIC PLUS TOPICAL OINTMENT 3.5-500-10,000 MG-UNIT-UNIT/G",Tier 1,
clotrimazole-betamethasone topical cream 1-(Lotrisone) 0.05 %,Tier 1,
clotrimazole-betamethasone topical lotion 1- 0.05 %,Tier 1,
ciclopirox topical cream 0.77 %(Ciclodan),Tier 1,
ciclopirox topical gel 0.77 %,Tier 1,
ciclopirox topical shampoo 1 %(Loprox),Tier 1,
ciclopirox topical solution 8 %(Ciclodan),Tier 1,
ciclopirox topical suspension 0.77 %(Loprox (as olamine)),Tier 1,
econazole topical cream 1 %,Tier 2,
ketoconazole topical cream 2 %,Tier 1,
ketoconazole topical shampoo 2 %(Nizoral),Tier 1,
naftifine topical cream 1 %,Tier 1,
naftifine topical cream 2 %(Naftin),Tier 1,
NAFTIN TOPICAL GEL 1 %,Tier 3,
"NYAMYC TOPICAL POWDER 100,000 UNIT/GRAM",Tier 1,
"nystatin topical cream 100,000 unit/gram",Tier 1,
"nystatin topical ointment 100,000 unit/gram",Tier 1,
"nystatin topical powder 100,000 unit/gram(Nyamyc)",Tier 1,
"nystatin-triamcinolone topical cream 100,000- 0.1 unit/g-%",Tier 1,
"nystatin-triamcinolone topical ointment 100,000-0.1 unit/gram-%",Tier 1,
"NYSTOP TOPICAL POWDER 100,000 UNIT/GRAM",Tier 1,
oxiconazole topical cream 1 %(Oxistat),Tier 1,
OXISTAT TOPICAL LOTION 1 %,Tier 3,
EURAX TOPICAL CREAM 10 %,Tier 2,
lindane topical shampoo 1 %,Tier 1,
malathion topical lotion 0.5 %(Ovide),Tier 1,QL (118 ML per 1 FILL)
permethrin topical cream 5 %(Elimite),Tier 1,
spinosad topical suspension 0.9 %(Natroba),Tier 2,QL (120 ML per 1 FILL)
acyclovir topical ointment 5 %(Zovirax),Tier 4,"ST: Prior prescription for Acyclovir, Famciclovir, Sitavig, or Valacyclovir HCL in 120 days"
DENAVIR TOPICAL CREAM 1 %,Tier 2,
BP 10-1 TOPICAL CLEANSER 10-1 %,Tier 1,
CLEANSING WASH TOPICAL CLEANSER 10-4-10 %,Tier 1,
ROSANIL TOPICAL CLEANSER 10-5 % (W/W),Tier 1,
"ROSULA CLEANSING CLOTHS TOPICAL PADS, MEDICATED 10-5 %",Tier 1,
silver sulfadiazine topical cream 1 %(Silvadene),Tier 1,
SSD TOPICAL CREAM 1 %,Tier 1,
SSS 10-5 TOPICAL CREAM 10-5 % (W/W),Tier 1,
SSS 10-5 TOPICAL FOAM 10-5 %,Tier 1,
sulfacetamide sodium-sulfur topical cleanser(Avar LS) 10-2 %,Tier 1,
sulfacetamide sodium-sulfur topical cleanser(Avar) 10-5 % (w/w),Tier 1,
sulfacetamide sodium-sulfur topical cleanser(Plexion) 9.8-4.8 %,Tier 1,
sulfacetamide sodium-sulfur topical cleanser(Sumaxin) 9-4 %,Tier 1,
sulfacetamide sodium-sulfur topical cleanser(Sumadan) 9-4.5 %,Tier 1,
sulfacetamide sodium-sulfur topical cream 10-(Avar-E LS) 2 %,Tier 1,
sulfacetamide sodium-sulfur topical cream 10-(Avar-E) 5 % (w/w),Tier 1,
sulfacetamide sodium-sulfur topical cream 9.8-(Plexion) 4.8 %,Tier 1,
"sulfacetamide sodium-sulfur topical lotion 10-5 % (w/v), 10-5 % (w/w)",Tier 1,
sulfacetamide sodium-sulfur topical lotion 9.8-(Plexion) 4.8 %,Tier 1,
"sulfacetamide sodium-sulfur topical pads,(Sumaxin) medicated 10-4 %",Tier 1,
sulfacetamide sodium-sulfur topical suspension 10-5 %,Tier 1,
sulfacetamide sodium-sulfur topical(SulfaCleanse 8-4) suspension 8-4 %,Tier 1,
sulfacetamide sod-sulfur-urea topical cleanser 10-5-10 %,Tier 1,
SULFACLEANSE 8-4 TOPICAL SUSPENSION 8-4 %,Tier 1,
SULFAMYLON TOPICAL CREAM 85 MG/G,Tier 2,
ALA-CORT TOPICAL CREAM 1 %,Tier 1,
ALA-SCALP TOPICAL LOTION 2 %,Tier 1,
alclometasone topical ointment 0.05 %,Tier 1,QL (60 GM per 1 FILL)
ANTI-ITCH (HC) TOPICAL CREAM 1 %,Tier 1,
ANTI-ITCH (HC) TOPICAL LOTION 1 %,Tier 1,
ANTI-ITCH (HC) TOPICAL OINTMENT 1 %,Tier 1,
ANTI-ITCH PLUS TOPICAL CREAM 1 %,Tier 1,
ANTI-ITCH(HYDROCORTISONE)-ALOE TOPICAL CREAM 1 %,Tier 1,
AQUANIL HC TOPICAL LOTION 1 %,Tier 1,
AVEENO ANTI-ITCH (HYDROCORTSN) TOPICAL CREAM 1 %,Tier 1,
BETA-HC TOPICAL LOTION 1 %,Tier 1,
betamethasone dipropionate topical cream 0.05 %,Tier 1,QL (45 GM per 1 FILL)
betamethasone dipropionate topical lotion 0.05 %,Tier 1,QL (60 ML per 1 FILL)
betamethasone dipropionate topical ointment 0.05 %,Tier 1,QL (45 GM per 1 FILL)
betamethasone valerate topical cream 0.1 %,Tier 1,QL (45 GM per 1 FILL)
betamethasone valerate topical lotion 0.1 %,Tier 1,QL (60 ML per 1 FILL)
betamethasone valerate topical ointment 0.1 %,Tier 1,QL (45 GM per 1 FILL)
"betamethasone, augmented topical cream 0.05 %",Tier 1,
"betamethasone, augmented topical gel 0.05 %",Tier 1,
"betamethasone, augmented topical lotion 0.05 %",Tier 1,
"betamethasone, augmented topical ointment(Diprolene) 0.05 %",Tier 1,
clobetasol scalp solution 0.05 %(Cormax),Tier 2,PA
clobetasol topical cream 0.05 %(Temovate),Tier 2,PA; QL (30 GM per 1 FILL)
clobetasol topical foam 0.05 %(Olux),Tier 2,PA
clobetasol topical gel 0.05 %,Tier 2,PA
clobetasol topical lotion 0.05 %(Clobex),Tier 2,PA
clobetasol topical ointment 0.05 %(Temovate),Tier 2,PA; QL (30 GM per 1 FILL)
clobetasol topical shampoo 0.05 %(Clobex),Tier 2,PA
clobetasol-emollient topical cream 0.05 %,Tier 2,PA
clobetasol-emollient topical foam 0.05 %(Olux-E),Tier 2,PA
CORMAX SCALP SOLUTION 0.05 %,Tier 2,PA
CORTAID TOPICAL CREAM 1 %,Tier 1,
CORTISONE (HYDROCORTISONE) TOPICAL CREAM 1 %,Tier 1,
CORTISONE (HYDROCORTISONE) TOPICAL LOTION 1 %,Tier 1,
CORTISONE WITH ALOE TOPICAL CREAM 1 %,Tier 1,
CORTIZONE-10 PLUS TOPICAL CREAM 1 %,Tier 1,
CORTIZONE-10 TOPICAL CREAM 1 %,Tier 1,
CORTIZONE-10 TOPICAL LOTION 1 %,Tier 1,
CORTIZONE-10 TOPICAL OINTMENT 1 %,Tier 1,
CORTIZONE-10 WITH ALOE TOPICAL CREAM 1 %,Tier 1,
DERMAREST ECZEMA (HYDROCORT) TOPICAL LOTION 1 %,Tier 1,
desoximetasone topical cream 0.25 %(Topicort),Tier 1,QL (60 GM per 1 FILL)
diflorasone topical ointment 0.05 %,Tier 1,
ECZEMA ANTI-ITCH TOPICAL CREAM 1 %,Tier 1,
fluocinolone and shower cap scalp oil 0.01 %(Derma-Smoothe/FS Scalp Oil),Tier 1,
fluocinolone topical oil 0.01 %(Derma-Smoothe/FS Body Oil),Tier 1,
fluocinolone topical solution 0.01 %(Synalar),Tier 1,
fluocinonide topical cream 0.05 %,Tier 1,
fluocinonide topical cream 0.1 %(Vanos),Tier 1,PA
fluocinonide topical gel 0.05 %,Tier 1,
fluocinonide topical ointment 0.05 %,Tier 1,
fluocinonide topical solution 0.05 %,Tier 1,
FLUOCINONIDE-E TOPICAL CREAM 0.05 %,Tier 1,QL (30 GM per 1 FILL)
fluocinonide-emollient topical cream 0.05 %(Fluocinonide-E),Tier 1,QL (30 GM per 1 FILL)
fluticasone propionate topical cream 0.05 %(Cutivate),Tier 1,
fluticasone propionate topical ointment 0.005 %,Tier 1,
halobetasol propionate topical cream 0.05 %,Tier 2,PA; QL (50 GM per 1 FILL)
halobetasol propionate topical ointment 0.05 %,Tier 2,PA; QL (50 GM per 1 FILL)
hydrocortisone acetate topical cream 0.5 %,Tier 1,
hydrocortisone acetate topical cream 1 %(Vanicream HC),Tier 1,
hydrocortisone acetate topical ointment 1 %,Tier 1,
HYDROCORTISONE PLUS TOPICAL CREAM 1 %,Tier 1,
"hydrocortisone topical cream 0.5 %, 2.5 %",Tier 1,
hydrocortisone topical cream 1 %(Ala-Cort),Tier 1,
hydrocortisone topical cream in packet 1 %,Tier 1,
hydrocortisone topical cream with perineal(Procto-Pak) applicator 1 %,Tier 1,
hydrocortisone topical cream with perineal(Anusol-HC) applicator 2.5 %,Tier 1,
hydrocortisone topical lotion 1 %(Anti-Itch (HC)),Tier 1,
hydrocortisone topical lotion 2.5 %,Tier 1,
"hydrocortisone topical ointment 0.5 %, 2.5 %",Tier 1,
hydrocortisone topical ointment 1 %(Anti-Itch (HC)),Tier 1,
hydrocortisone-aloe vera topical cream 1 %(Anti-Itch(hydrocortisone)- Aloe),Tier 1,
HYDROCREAM TOPICAL CREAM 1 %,Tier 1,
mometasone topical cream 0.1 %(Elocon),Tier 1,
mometasone topical ointment 0.1 %,Tier 1,
mometasone topical solution 0.1 %,Tier 1,
NOBLE FORMULA HC TOPICAL CREAM 1 %,Tier 1,
prednicarbate topical cream 0.1 %,Tier 1,
prednicarbate topical ointment 0.1 %(Dermatop),Tier 1,
PREPARATION H HYDROCORTISONE TOPICAL CREAM 1 %,Tier 1,
PROCTO-MED HC TOPICAL CREAM WITH PERINEAL APPLICATOR 2.5 %,Tier 1,
PROCTO-PAK TOPICAL CREAM WITH PERINEAL APPLICATOR 1 %,Tier 1,
PROCTOSOL HC TOPICAL CREAM WITH PERINEAL APPLICATOR 2.5 %,Tier 1,
PROCTOZONE-HC TOPICAL CREAM WITH PERINEAL APPLICATOR 2.5 %,Tier 1,
SOOTHING CARE (HYDROCORTISONE) TOPICAL CREAM 1 %,Tier 1,
triamcinolone acetonide topical cream 0.025 %,Tier 1,
"triamcinolone acetonide topical cream 0.1 %,(Triderm) 0.5 %",Tier 1,
"triamcinolone acetonide topical lotion 0.025 %, 0.1 %",Tier 1,
"triamcinolone acetonide topical ointment 0.025 %, 0.1 %, 0.5 %",Tier 1,
"TRIDERM TOPICAL CREAM 0.1 %, 0.5 %",Tier 1,
ULTRAVATE TOPICAL LOTION 0.05 %,Tier 3,PA; QL (60 ML per 1 FILL)
VANICREAM HC TOPICAL CREAM 1 %,Tier 1,
diclofenac sodium topical gel 1 %(Voltaren),Tier 1,QL (500 GM per 1 FILL)
DRYSOL DAB-O-MATIC TOPICAL SOLUTION 20 %,Tier 1,
DRYSOL TOPICAL SOLUTION 20 %,Tier 1,
ANTI-DANDRUFF TOPICAL SHAMPOO 1 %,Tier 1,
ANTI-DANDRUFF WITH MENTHOL TOPICAL SHAMPOO 1 %,Tier 1,
DANDRUFF SHAMPOO (SELEN-ALOE) TOPICAL SHAMPOO 1 %,Tier 1,
DANDRUFF SHAMPOO-MENTHOL TOPICAL SHAMPOO 1 %,Tier 1,
OVACE PLUS SHAMPOO TOPICAL SHAMPOO 10 %,Tier 3,
selenium sulfide topical lotion 2.5 %,Tier 1,
SELSUN BLUE MOISTURIZING TOPICAL SHAMPOO 1 %,Tier 1,
SELSUN BLUE TOPICAL SHAMPOO 1 %,Tier 1,
sulfacetamide sodium topical cleanser 10 %(Ovace),Tier 1,
sulfacetamide sodium topical shampoo 10 %(Ovace Plus Shampoo),Tier 1,
"ALCOHOL PADS TOPICAL PADS, MEDICATED",Tier 1,
"ALCOHOL PREP PADS TOPICAL PADS, MEDICATED",Tier 1,
"alcohol swabs topical pads, medicated(Alcohol Pads)",Tier 1,
"ALCOHOL WIPES TOPICAL PADS, MEDICATED",Tier 1,
"BD ALCOHOL SWABS TOPICAL PADS, MEDICATED",Tier 1,
"CARETOUCH ALCOHOL PREP PAD TOPICAL PADS, MEDICATED",Tier 1,
"CURITY ALCOHOL SWABS TOPICAL PADS, MEDICATED",Tier 1,
"EASY COMFORT ALCOHOL PAD TOPICAL PADS, MEDICATED",Tier 1,
"EASY TOUCH ALCOHOL PREP PADS TOPICAL PADS, MEDICATED",Tier 1,
"INCONTROL ALCOHOL PADS TOPICAL PADS, MEDICATED",Tier 1,
"IV PREP WIPES TOPICAL PADS, MEDICATED",Tier 1,
"PRO COMFORT ALCOHOL PADS TOPICAL PADS, MEDICATED",Tier 1,
"SURE COMFORT ALCOHOL PREP PADS TOPICAL PADS, MEDICATED",Tier 1,
"SURE-PREP ALCOHOL PREP PADS TOPICAL PADS, MEDICATED",Tier 1,
"TRUE COMFORT ALCOHOL PADS TOPICAL PADS, MEDICATED",Tier 1,
"ULTILET ALCOHOL SWAB TOPICAL PADS, MEDICATED",Tier 1,
"WEBCOL TOPICAL PADS, MEDICATED",Tier 1,
CERTAIN DRI TOPICAL LIQUID,Tier 1,
AMLACTIN TOPICAL LOTION 12 %,Tier 1,
ammonium lactate topical cream 12 %(Geri-Hydrolac),Tier 1,
ammonium lactate topical lotion 12 %(AmLactin),Tier 1,
GERI-HYDROLAC TOPICAL CREAM 12 %,Tier 1,
"GERI-HYDROLAC TOPICAL LOTION 12 %, 5 %",Tier 1,
LAC-HYDRIN FIVE TOPICAL LOTION 5 %,Tier 1,
SKIN TREATMENT TOPICAL LOTION 12 %,Tier 1,
AQUA CARE SODIUM CHLORIDE IRRIGATION SOLUTION 0.9 %,Tier 1,
SEA-CLENS WOUND CLEANSER IRRIGATION SOLUTION,Tier 1,
sodium chloride irrigation solution 0.9 %(Aqua Care Sodium Chloride),Tier 1,
STERILE SALINE IRRIGATION SOLUTION 0.9 %,Tier 2,
benzoyl peroxide topical gel 2.5 %,Tier 1,
PODOCON TOPICAL LIQUID 25 %,Tier 2,
podofilox topical solution 0.5 %,Tier 1,
salicylic acid topical shampoo 6 %(Salex),Tier 1,
EPIFOAM TOPICAL FOAM 1-1 %,Tier 2,
lidocaine hcl-hydrocortison ac topical cream 3- 0.5 %,Tier 1,
PRAMOSONE TOPICAL CREAM 1-1 %,Tier 2,
"PRAMOSONE TOPICAL OINTMENT 1-1 %, 2.5-1 %",Tier 2,
diclofenac sodium topical gel 3 %(Solaraze),Tier 1,PA
FLUOROPLEX TOPICAL CREAM 1 %,Tier 2,
fluorouracil topical cream 0.5 %(Carac),Tier 2,
fluorouracil topical cream 5 %(Efudex),Tier 1,
"fluorouracil topical solution 2 %, 5 %",Tier 1,
TARGRETIN TOPICAL GEL 1 %,Tier 4,
TOLAK TOPICAL CREAM 4 %,Tier 2,
"ASPERCREME (LIDOCAINE) TOPICAL ADHESIVE PATCH,MEDICATED 4 %",Tier 2,PA; QL (1 EA per 1 day)
BURN RELIEF WITH ALOE TOPICAL GEL 0.5 %,Tier 1,
lidocaine hcl laryngotracheal solution 4 %(LTA Pre-Attached),Tier 1,
lidocaine hcl topical cream 3 %(Lidopin),Tier 1,
"LIDOCAINE PAIN RELIEF TOPICAL ADHESIVE PATCH,MEDICATED 4 %",Tier 2,PA; QL (1 EA per 1 day)
"lidocaine topical adhesive patch,medicated 5(Lidoderm) %",Tier 2,PA; QL (1 EA per 1 day)
